"Delete Selected Problems","حذف المشاكل المحددة"
"Unsubscribe Selected","الغاء الاشتراك مختارة"
"Back","رجوع"
"Reset","اعادة ضبط"
"Preview Template","معاينة القالب"
"Save Newsletter","حفظ النشرة البريدية"
"Save and Resume","حفظ واستمرار"
"View Newsletter","عرض النشرة البريدية"
"Edit Newsletter","تعديل النشرة البريدية"
"Queue Information","معلومات الصف"
"Queue Date Start","بدء تاريخ الصف"
"Subscribers From","مشتركون من"
"Subject","العنوان"
"Sender Name","اسم المرسل"
"Sender Email","البريد الإلكتروني للمرسل"
"Message","رسالة"
"Newsletter Styles","أنماط الرسالة الإخبارية"
"Start","ابدء"
"Pause","توقيف"
"Do you really want to cancel the queue?","هل تريد ان تلغي الصف؟"
"Cancel","إلغاء"
"Resume","استئناف"
"Preview","اعادة المشاهدة"
"Add New Template","إضافة قالب جديد"
"Newsletter Templates","قوالب النشرة البريدية"
"Convert to Plain Text","تحويل إلى نص عادي"
"Return HTML Version","Return HTML Version"
"Delete Template","حذف القالب"
"Save As","حفظ باسم"
"Save Template","حفظ القالب"
"Edit Newsletter Template","تعديل قالب النشرة البريدية"
"New Newsletter Template","قالب نشرة بريدية جديد"
"Template Information","معلومات القالب"
"Template Name","اسم القالب"
"Template Subject","موضوع القالب"
"Template Content","محتوى القالب"
"Template Styles","أنماط قالب"
"No Templates Found","لا يوجد قوالب"
"ID","التعريف"
"Template","قالب"
"Added","تمت الاضافه"
"Updated","محدث"
"Sender","المرسل"
"Template Type","نوع القالب"
"Action","إجراء"
"Queue Newsletter","نشرة الصف"
"We unsubscribed the people you identified.","تم إلغاء الاشتراكات التي قمت بتعريفها."
"The problems you identified have been deleted.","تم حذف المشاكل التي قمت بتحديدها."
"Newsletter Problems Report","تقارير مشاكل النشرة البريدية"
"Newsletter Problem Reports","تقارير مشاكل النشرة البريدية"
"Newsletter Queue","صف النشرة"
"Edit Queue","اضافة قالب"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter","القائمة البريدية"
"Subscribers","مشتركون"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","عدد %1 سجلات تم تحديثها."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","لا يمكن حذف هذا القالب الآن."
"Edit Template","تعديل قالب"
"New Template","قالب جديد"
"Create Newsletter Template","إنشاء قالب نشرة بريدية"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","يرتبط عنوان هذا البريد الإلكتروني مع حساب آخر بالفعل."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","شكراً لتسجيلك"
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","تم الإرسال"
"Cancelled","تم الإلغاء"
"Not Sent","غير مرسلة"
"Sending","جاري الارسال"
"Paused","توقف مؤقت"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","اختيار منظر المتجر:"
"Newsletter Message Preview","معاينة رسالة النشرة البريدية"
"Add to Queue","اضف الى الصف"
"Are you sure that you want to strip all tags?","هل انت متاكد انك تريد من تشريط جميع العلامات؟"
"Please enter a new template name.","Please enter a new template name."
" Copy"," نسخة"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Sign Up for Our Newsletter:","سجل في نشرتنا البريدية:"
"Enter your email address","ادخل عنوان بريدك الالكتروني"
"Subscribe","اشتراك"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","للبدء في إستقبال الرسالة الإخبارية، يجب عليك أولاً تأكيد اشتراك; عن طريق الضغط على الرابط التالي:"
"Newsletter subscription success","نجاح الاشتراك في النشرة البريدية"
"You have been successfully subscribed to our newsletter.","لقد اشتركت في نشرتنا البريدية."
"Newsletter unsubscription success","إلغاء الاشتراك في النشرة البريدية"
"You have been unsubscribed from the newsletter.","تم إلغاء اشتراكك من النشرة البريدية."
"Newsletter Template","Newsletter Template"
"Newsletter Section","Newsletter Section"
"Subscription Options","خيارات النشرات البريدية"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","يحتاج الى تاكيد"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
