"Delete Selected Problems","Odstranit zvolené problémy"
"Unsubscribe Selected","Odhlásit zvolené"
"Back","Zpět"
"Reset","Obnovit"
"Preview Template","Náhled šablony"
"Save Newsletter","Uložit newsletter"
"Save and Resume","Použít"
"View Newsletter","Zobrazit newsletter"
"Edit Newsletter","Upravit zpravodaj"
"Queue Information","Údaje fronty"
"Queue Date Start","Datum spuštění fronty"
"Subscribers From","Odběratelé z"
"Subject","Předmět"
"Sender Name","Jméno odesílatele"
"Sender Email","E-mail odesílatele"
"Message","Zpráva"
"Newsletter Styles","Styly newsletteru"
"Start","Od data"
"Pause","Pozastavit"
"Do you really want to cancel the queue?","Skutečně chcete frontu zrušit?"
"Cancel","Zrušit"
"Resume","Souhrn"
"Preview","Náhled"
"Add New Template","Přidat novou šablonu"
"Newsletter Templates","Šablony zpravodaje"
"Convert to Plain Text","Převést na prostý text"
"Return HTML Version","Vrátit HTML verzi"
"Delete Template","Odstranit šablonu"
"Save As","Uložit jako"
"Save Template","Uložit šablonu"
"Edit Newsletter Template","Upravit šablonu newsletteru"
"New Newsletter Template","Nová šablona newsletteru"
"Template Information","Nastavení šablony"
"Template Name","Název šablony"
"Template Subject","Předmět šablony"
"Template Content","Obsah šablony"
"Template Styles","Styly šablony"
"No Templates Found","Nebyly nalezeny žádné šablony"
"ID","ID"
"Template","Šablona"
"Added","Přidáno"
"Updated","Upraveno"
"Sender","Odesílatel"
"Template Type","Typ šablony"
"Action","Akce"
"Queue Newsletter","Fronta newsletteru"
"We unsubscribed the people you identified.","Označení lidé odběratelé odhlášeni."
"The problems you identified have been deleted.","Označené problémy byly odstraněny."
"Newsletter Problems Report","Přehled problémů newsletteru"
"Newsletter Problem Reports","Přehledy problému newsletteru"
"Newsletter Queue","Fronta newsletteru"
"Edit Queue","Upravit frontu"
"Please correct the newsletter template and try again.","Opravte šablonu newsletteru a zkuste to znovu."
"You saved the newsletter queue.","Fronta newsletteru byla uložena."
"Newsletter Subscribers","Odběratelé newsletteru"
"Newsletter","Newsletter"
"Subscribers","Odběratelé"
"Please select one or more subscribers.","Zvolte alespoň jednoho odběratele."
"Total of %1 record(s) were deleted.","Bylo odstraněno celkem %1 záznamů."
"A total of %1 record(s) were updated.","Bylo upraveno celkem %1 záznam(ů)."
"The newsletter template has been deleted.","Šablona newsletteru byla odstraněna."
"We can't delete this template right now.","Tuto šablonu momentálně nelze odstranit."
"Edit Template","Upravit šablonu"
"New Template","Nová šablona"
"Create Newsletter Template","Vytvořit šablonu newsletteru"
"The newsletter template has been saved.","Šablona newsletteru byla uložena."
"Something went wrong while saving this template.","Při ukládání šablony nastala chyba."
"Newsletter Subscription","Odběr newsletteru"
"Something went wrong while saving your subscription.","Při ukládání vašeho odběru zpravodaje nastala chyba."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Odběr zpravodaje byl potvrzen."
"This is an invalid subscription confirmation code.","Neplatný kód potvrzení odběru zpravodaje."
"This is an invalid subscription ID.","Neplatné ID odběru zpravodaje."
"This email address is already assigned to another user.","Tuto e-mailovou adresu již používá jiný uživatel."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Omlouváme se, ale nepřihlášený uživatel se nemůže přihlásit k odběru. Prosím, <a href=""%1""> zaregistrujte se</a>."
"Please enter a valid email address.","Zadejte prosím platnou e-mailovou adresu."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Děkujeme za odběr zpravodaje."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Při odběru zpravodaje nastala chyba."
"You unsubscribed.","Odběr zpravodaje byl odhlášen."
"Something went wrong while unsubscribing you.","Při odhlášení odběru nastala chyba."
"Sent","Odesláno"
"Cancelled","Zrušeno"
"Not Sent","Nebyla odeslána"
"Sending","Odesílám"
"Paused","Pozastaveno"
"There are no subscribers selected.","Nebyli zvoleni žádní odběratelé."
"You selected an invalid queue.","Byla zvolena neplatná fronta."
"We cannot mark as received subscriber.","Odběratele nelze označit jako příjemce."
"Duplicate template code","Duplikovat kód šablony"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","K odhlášení odběru zpravodaje klikněte na odkaz <! – odkaz pro zrušení odběru--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Entita s %fieldName = %fieldValue neexistuje"
"Choose Store View:","Zvolte zobrazení obchodu:"
"Newsletter Message Preview","Náhled zprávy newsletteru"
