"Delete Selected Problems","Usuń zaznaczone problemy"
"Unsubscribe Selected","Wypisz zaznaczonych"
"Back","Powrót"
"Reset","Resetuj"
"Preview Template","Podgląd szablonu"
"Save Newsletter","Zapisz newsletter"
"Save and Resume","Zapisz i wznów"
"View Newsletter","Zobacz newsletter"
"Edit Newsletter","Edycja newslettera"
"Queue Information","Informacje o kolejce"
"Queue Date Start","Start kolejki"
"Subscribers From","Subskrybenci od"
"Subject","Temat"
"Sender Name","Nazwa nadawcy"
"Sender Email","E-mail nadawcy"
"Message","Wiadomość"
"Newsletter Styles","Style newslettera"
"Start","Start"
"Pause","Pauza"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Cancel","Anuluj"
"Resume","Wznów"
"Preview","Podgląd"
"Add New Template","Dodaj nowy szablon"
"Newsletter Templates","Szablony newslettera"
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Return HTML Version","Zwróć wersję HTML"
"Delete Template","Usuń szablon"
"Save As","Zapisz jako"
"Save Template","Zapisz szablon"
"Edit Newsletter Template","Edycja szablonu newslettera"
"New Newsletter Template","Nowy szablon newslettera"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Subject","Temat szablonu"
"Template Content","Zawartość szablonu"
"Template Styles","Style szablonu"
"No Templates Found","Nie znaleziono szablonów"
"ID","Identyfikator"
"Template","Szablon"
"Added","Dodane"
"Updated","Zaktualizowano"
"Sender","Nadawca"
"Template Type","Typ szablonu"
"Action","Operacja"
"Queue Newsletter","Kolejki Newsletter"
"We unsubscribed the people you identified.","Możemy wypisać osoby zidentyfikowane."
"The problems you identified have been deleted.","Problemy, które zidentyfikowałeś zostały usunięte."
"Newsletter Problems Report","Raporty problemów z wysyłką newslettera"
"Newsletter Problem Reports","Raporty problemów z wysyłką newslettera"
"Newsletter Queue","Kolejka newslettera"
"Edit Queue","Edycja kolejki"
"Please correct the newsletter template and try again.","Proszę poprawić szablon newslettera i spróbuj ponownie."
"You saved the newsletter queue.","Zapisana kolejka newslettera."
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter","Newsletter"
"Subscribers","Subskrybenci"
"Please select one or more subscribers.","Wybierz jedną lub więcej subskrybentów."
"Total of %1 record(s) were deleted.","Usunięto %1 wpis(ów)."
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"The newsletter template has been deleted.","Szablon newslettera został usunięty."
"We can't delete this template right now.","Nie można teraz usunąć tego szablonu."
"Edit Template","Edycja szablonu"
"New Template","Nowy szablon"
"Create Newsletter Template","Utwórz szablon newslettera"
"The newsletter template has been saved.","Szablon newslettera został zapisany."
"Something went wrong while saving this template.","Coś się zepsuło podczas zapisywania tego szablonu."
"Newsletter Subscription","Subskrypcja newsletter'a"
"Something went wrong while saving your subscription.","Coś się zepsuło podczas zapisywania twojej subskrypcji."
