"Delete Selected Problems","Kustuta valitud probleemid"
"Unsubscribe Selected","Eemalda valitud"
"Back","Tagasi"
"Reset","Tühista"
"Preview Template","Preview Template"
"Save Newsletter","Salvesta uudiskiri"
"Save and Resume","Save and Resume"
"View Newsletter","Vaata uudiskirja"
"Edit Newsletter","Muuda uudiskirja"
"Queue Information","Queue Information"
"Queue Date Start","Queue Date Start"
"Subscribers From","Subscribers From"
"Subject","Pealkiri"
"Sender Name","Saatja nimi"
"Sender Email","Saatja e-posti aadress"
"Message","Sõnum"
"Newsletter Styles","Uudiskirja stiilid"
"Start","Algus"
"Pause","Pause"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Cancel","Tühista"
"Resume","Resume"
"Preview","Eelvaade"
"Add New Template","Lisa uus mall"
"Newsletter Templates","Uudiskirja mallid"
"Convert to Plain Text","Muuda lihttekstiks"
"Return HTML Version","Return HTML Version"
"Delete Template","Delete Template"
"Save As","Save As"
"Save Template","Save Template"
"Edit Newsletter Template","Muuda uudiskirja malli"
"New Newsletter Template","Uus uudiskirja mall"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Content","Template Content"
"Template Styles","Template Styles"
"No Templates Found","No Templates Found"
"ID","ID"
"Template","Mall"
"Added","Lisatud"
"Updated","Uuendatud"
"Sender","Saatja"
"Template Type","Malli tüüp"
"Action","Toiming"
"Queue Newsletter","Pane uudskiri järjekorda"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Uudiskirja probleemide aruanne"
"Newsletter Problem Reports","Uudiskirja probleemide aruanded"
"Newsletter Queue","Uudiskirja järjekord"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Uudiskirja tellijad"
"Newsletter","Uudiskiri"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","Kokku uuendati %1 kirjet."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Edit Template"
"New Template","Uus mall"
"Create Newsletter Template","Loo uudiskirja mall"
"The newsletter template has been saved.","Uudiskirja mall salvestatud."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Uudiskirja tellimine"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Tellimus kinnitatud."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Palun sisesta korrektne e-posti aadress."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Täname liitumise eest."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Saadetud"
"Cancelled","Tühistatud"
"Not Sent","Saatmata"
"Sending","Saatmine"
"Paused","Peatatud"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Vali poevaade:"
"Newsletter Message Preview","Uudiskirja sõnumi eelvaade"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Copy"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Sign Up for Our Newsletter:","Liitu uudiskirjaga:"
"Enter your email address","Sisesta oma e-posti aadress"
"Subscribe","Liitu"
"Newsletter subscription confirmation","Uudiskirja liitumise kinnitus"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
"Newsletter subscription success","Uudiskirja liitumine õnnestus"
"You have been successfully subscribed to our newsletter.","Olete liitunud uudiskirjaga."
"Newsletter unsubscription success","Uudiskirjast lahkumine õnnestus"
"You have been unsubscribed from the newsletter.","Uudiskirjaga liitumine tühistatud."
"Newsletter Template","Uudiskirja mall"
"Newsletter Section","Newsletter Section"
"Subscription Options","Tellimuse valikud"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Subscriber"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Veakood"
"Error Text","Veatekst"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Staatus"
"Processed","Processed"
"Recipients","Saajad"
"Unsubscribe","Unsubscribe"
"Delete","Kustuta"
"CSV","CSV"
"Excel XML","Exceli XML"
"Email","E-post"
"Type","Tüüp"
"Guest","Külaline"
"Customer","Klient"
"Customer First Name","Kliendi eesnimi"
"Customer Last Name","Kliendi perekonnanimi"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
"Web Site","Veebisait"
"Store","Pood"
"Store View","Poevaade"
"Newsletter Subscriptions","Uudiskirja tellimused"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
