"Delete Selected Problems","Dzēst atlasītās problēmas"
"Unsubscribe Selected","Atrakstīt izvēlētos"
"Back","Atpakaļ"
"Reset","Notīrīt"
"Preview Template","Šablona priekšskatījums"
"Save Newsletter","Saglabāt jaunumu ziņu"
"Save and Resume","Saglabāt un turpināt"
"View Newsletter","Apskatīt jaunumu ziņu"
"Edit Newsletter","Labot jaunumu ziņu"
"Queue Information","Rindas informācija"
"Queue Date Start","Rindas sākuma datums"
"Subscribers From","Abonenti no"
"Subject","Tēma"
"Sender Name","Sūtītāja vārds"
"Sender Email","Sūtītāja e-pasta adrese"
"Message","Ziņa"
"Newsletter Styles","Jaunumu stili"
"Start","Sākt"
"Pause","Pauze"
"Do you really want to cancel the queue?","Vai tiešām vēlaties atcelt rindu?"
"Cancel","Atcelt"
"Resume","Atsākt"
"Preview","Priekšskatītījums"
"Add New Template","Pievienot jaunu šablonu"
"Newsletter Templates","Jaunumu šabloni"
"Convert to Plain Text","Konvertēt par tekstu"
"Return HTML Version","Atgriezt HTML versiju"
"Delete Template","Dzēst šablonu"
"Save As","Saglabāt kā"
"Save Template","Saglabāt šablonu"
"Edit Newsletter Template","Labot janumu ziņas šablonu"
"New Newsletter Template","Jauns ziņu šablons"
"Template Information","Šablona informācija"
"Template Name","Šablona nosaukums"
"Template Subject","Šablona tēma"
"Template Content","Šablona saturs"
"Template Styles","Šablona stili"
"No Templates Found","Nav atrasti šabloni"
"ID","ID"
"Template","Šablons"
"Added","Pievienots"
"Updated","Atjaunināts"
"Sender","Sūtītājs"
"Template Type","Šablona veids"
"Action","Darbība"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Jaunumu ziņu problēmu atskaite"
"Newsletter Queue","Jaunumu izsūtīšanas rinda"
"Edit Queue","Labot sūtījumu rindu"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Jaunumu abonenti"
"Newsletter","Jaunumi"
"Subscribers","Abonenti"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","Kopā atjaunots %1 ieraksts(i)."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Labot šablonu"
