"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Unsubscribe Selected","Memilih Berhenti berlangganan"
"Back","Kembali"
"Reset","Set ulang"
"Preview Template","Pratinjau Template"
"Save Newsletter","Simpan Newsletter"
"Save and Resume","Simpan dan Lanjutkan"
"View Newsletter","Lihat Newsletter"
"Edit Newsletter","Edit Newsletter"
"Queue Information","Antrian informasi"
"Queue Date Start","Antrian tanggal mulai"
"Subscribers From","Pelanggan dari"
"Subject","Subyek"
"Sender Name","Nama Pengirim"
"Sender Email","Email Pengirim"
"Message","Pesan"
"Newsletter Styles","Gaya Newsletter"
"Start","Mulai"
"Pause","Jeda"
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
"Cancel","Batal"
"Resume","Lanjutkan"
"Preview","Pratinjau"
"Add New Template","Tambah template baru"
"Newsletter Templates","Template Newsletter"
"Convert to Plain Text","Konversikan ke Teks Biasa"
"Return HTML Version","Kembali Versi HTML"
"Delete Template","Hapus Template"
"Save As","Simpan Sebagai"
"Save Template","Simpan Template"
"Edit Newsletter Template","Edit Newsletter Template"
"New Newsletter Template","Template Baru Newsletter"
"Template Information","Informasi Template"
"Template Name","Nama template"
"Template Subject","Subjek Template"
"Template Content","Konten Template"
"Template Styles","Gaya Template"
"No Templates Found","Tidak ada Template yang Ditemukan"
"ID","Id"
"Template","Template"
"Added","Ditambahkan"
"Updated","Diperbarui"
"Sender","Pengirim"
"Template Type","Jenis template"
"Action","Tindakan"
"Queue Newsletter","Antrian Newsletter"
"We unsubscribed the people you identified.","Kami berhenti berlangganan orang yang anda identifikasi."
"The problems you identified have been deleted.","Masalah yang anda identifikasi telah dihapus."
"Newsletter Problems Report","Laporan Masalah Newsletter"
"Newsletter Problem Reports","Laporan Masalah Newsletter"
"Newsletter Queue","Antrian Newsletter"
"Edit Queue","Edit Antrian"
"Please correct the newsletter template and try again.","Perbaiki template newsletter dan coba lagi."
"You saved the newsletter queue.","Anda menyimpan buletin newsletter."
"Newsletter Subscribers","Pelanggan buletin"
"Newsletter","Buletin"
"Subscribers","Pelanggan"
"Please select one or more subscribers.","Pilih satu atau lebih pelanggan."
"Total of %1 record(s) were deleted.","Total dari %1 record(s) telah dihapus."
"A total of %1 record(s) were updated.","Sebanyak %1 rekaman(s) telah diperbarui."
"The newsletter template has been deleted.","Newsletter template telah dihapus."
"We can't delete this template right now.","Kami tidak dapat menghapus template ini sekarang juga."
"Edit Template","Edit Template"
"New Template","Template Baru"
"Create Newsletter Template","Membuat Newsletter Template"
"The newsletter template has been saved.","Newsletter template telah disimpan."
"Something went wrong while saving this template.","Sesuatu yang tidak beres sambil menyimpan template ini."
"Newsletter Subscription","Berlangganan Newsletter"
"Something went wrong while saving your subscription.","Sesuatu yang tidak beres sambil menyimpan langganan Anda."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Langganan Anda telah dikonfirmasi."
"This is an invalid subscription confirmation code.","Ini adalah kode konfirmasi langganan tidak valid."
"This is an invalid subscription ID.","Ini adalah ID langganan yang tidak valid."
"This email address is already assigned to another user.","Alamat email ini sudah ditetapkan ke pengguna lain."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Maaf, tapi administrator menolak berlangganan untuk tamu. Silakan <a href=""%1""> mendaftar</a>."
"Please enter a valid email address.","Silakan isi alamat email."
"This email address is already subscribed.","Alamat email ini sudah berlangganan."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Terima kasih untuk berlangganan."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Sesuatu yang tidak beres dengan berlangganan."
"You unsubscribed.","Anda berhenti berlangganan."
"Something went wrong while unsubscribing you.","Sesuatu yang tidak beres sementara berhenti berlangganan Anda."
"Sent","Dikirim"
"Cancelled","Dibatalkan"
"Not Sent","Tidak terkirim"
"Sending","Mengirim"
"Paused","Dijeda"
"There are no subscribers selected.","Ada ada pelanggan yang dipilih."
"You selected an invalid queue.","Anda memilih antrian tidak valid."
"We cannot mark as received subscriber.","Kami tidak dapat menandai sebagai diterima pelanggan."
"Duplicate template code","Kode template duplikat"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ikuti link ini untuk berhenti berlangganan <!--tag Ini adalah untuk link unsubscribe--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Tidak ada entitas dengan %fieldName = %fieldValue"
"Choose Store View:","Pilih Lihat toko:"
"Newsletter Message Preview","Pratinjau Pesan Newsletter"
"Add to Queue","Tambahkan ke antrian"
"Are you sure that you want to strip all tags?","Apakah Anda yakin ingin menghapus semua tag?"
"Please enter a new template name.","Silakan masukkan nama template baru."
" Copy"," Salinan"
"Are you sure you want to delete this template?","Anda yakin ingin menghapus template ini?"
"Sign Up for Our Newsletter:","Mendaftar untuk Newsletter kami:"
"Enter your email address","Masukkan alamat email Anda"
"Subscribe","Berlangganan"
"Newsletter subscription confirmation","Konfirmasi berlangganan newsletter"
"Thank you for subscribing to our newsletter.","Terima kasih untuk berlangganan newsletter kami."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Untuk mulai menerima newsletter, Anda harus terlebih dahulu mengonfirmasi langganan Anda dengan mengeklik tautan berikut:"
"Newsletter subscription success","Berlangganan newsletter berhasil"
"You have been successfully subscribed to our newsletter.","Anda telah berhasil berlangganan newsletter kami."
"Newsletter unsubscription success","Sukses berhenti berlangganan newsletter"
"You have been unsubscribed from the newsletter.","Anda telah berhenti berlangganan newsletter."
"Newsletter Template","Newsletter Template"
"Newsletter Section","Bagian newsletter"
"Subscription Options","Pilihan Berlangganan"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"Need to Confirm","Perlu untuk Konfirmasi"
"Confirmation Email Sender","Konfirmasi Email Pengirim"
"Confirmation Email Template","Konfirmasi Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"Success Email Sender","Email Pengirim Sukses"
"Success Email Template","Template Email Sukses"
"Unsubscription Email Sender","Pengirim Email tidak Berlangganan"
"Unsubscription Email Template","Template Email yang Tidak Berlangganan"
"We found no problems.","Kami tidak menemukan masalah."
"Subscriber","Pelanggan"
"Queue Start Date","Tanggal Mulai Antrian"
"Queue Subject","Antrian Subjek"
"Error Code","Kode Kesalahan"
"Error Text","Teks Kesalahan"
"Queue Start","Antrian Mulai"
"Queue End","Antrian Akhir"
"Status","Subjek"
"Processed","Diproses"
"Recipients","Penerima"
"Unsubscribe","Berhenti berlangganan"
"Delete","Hapus"
"CSV","Csv"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Jenis"
"Guest","Tamu"
"Customer","Pelanggan"
"Customer First Name","Nama depan pelanggan"
"Customer Last Name","Nama belakang pelanggan"
"Not Activated","Tidak Diaktifkan"
"Subscribed","Berlangganan"
"Unsubscribed","Berhenti Berlangganan"
"Unconfirmed","Belum dikonfirmasi"
"Web Site","Situs web"
"Store","Toko"
