"Delete Selected Problems","Șterge problemele selectate"
"Unsubscribe Selected","Dezabonare selectate"
"Back","Înapoi"
"Reset","Resetați"
"Preview Template","Previzualizare șablon"
"Save Newsletter","Salvare buletin informativ"
"Save and Resume","Salvează și continuă"
"View Newsletter","Vizualizare Buletin informativ"
"Edit Newsletter","Editare Buletin informativ"
"Queue Information","Informații șir"
"Queue Date Start","Dată de început șir"
"Subscribers From","Abonați de la"
"Subject","Subiect"
"Sender Name","Nume expeditor"
"Sender Email","Email expeditor"
"Message","Mesaj"
"Newsletter Styles","Stiluri Buletin informativ"
"Start","Început"
"Pause","Pauză"
"Do you really want to cancel the queue?","Sunteți sigur că doriți să anulați șirul?"
"Cancel","anulați"
"Resume","Continuă"
"Preview","Previzualizare"
"Add New Template","Adaugă șablon nou"
"Newsletter Templates","Șabloane Buletin informativ"
"Convert to Plain Text","Transformați în text simplu"
"Return HTML Version","Înapoi la versiunea HTML"
"Delete Template","Șterge șablon"
"Save As","Salvare ca"
"Save Template","Salvare șablon"
"Edit Newsletter Template","Editare șablon Buletin informativ"
"New Newsletter Template","Șablon Buletin informativ nou"
"Template Information","Informații șablon"
"Template Name","Nume șablon"
"Template Subject","Subiect șablon"
"Template Content","Conținut șablon"
"Template Styles","Stiluri șablon"
"No Templates Found","Nici un șablon găsit"
"ID","ID"
"Template","Şablon"
"Added","Adăugat"
"Updated","Actualizat"
"Sender","Expeditor"
"Template Type","Tip șablon"
"Action","Acțiune"
"Queue Newsletter","Pune Buletinul informativ la coada de așteptare"
"We unsubscribed the people you identified.","Am dezabonat persoanele identificate."
"The problems you identified have been deleted.","Problemele identificate au fost șterse."
"Newsletter Problems Report","Raport probleme Buletin informativ"
"Newsletter Problem Reports","Rapoarte probleme Buletin informativ"
"Newsletter Queue","Șir Buletine informative"
"Edit Queue","Editare șir"
"Please correct the newsletter template and try again.","Corectați șablonul Buletinului informativ și încercați din nou."
"You saved the newsletter queue.","Ați salvat șirul buletinelor informative."
"Newsletter Subscribers","Abonați Buletin informativ"
"Newsletter","Buletin informativ"
"Subscribers","Abonați"
"Please select one or more subscribers.","Selectați unul sau mai mulți abonați."
"Total of %1 record(s) were deleted.","Un total de %1 registre au fost șterse."
"A total of %1 record(s) were updated.","Un total de %1 au fost actualizate."
"The newsletter template has been deleted.","Șablonul buletinului informativ a fost șters."
"We can't delete this template right now.","Momentan, acest șablon nu poate fi șters."
"Edit Template","Editare șablon"
"New Template","Șablon nou"
"Create Newsletter Template","Creează șablon Buletin informativ"
"The newsletter template has been saved.","Șablonul buletinului informativ a fost salvat."
"Something went wrong while saving this template.","A avut loc o eroare la salvarea șablonului."
"Newsletter Subscription","Abonare la newsletter"
"Something went wrong while saving your subscription.","A avut loc o eroare la salvarea abonării dumneavoastră."
"We saved the subscription.","Am salvat abonamentul."
"We removed the subscription.","Am șters abonamentul."
"Your subscription has been confirmed.","Abonarea dumneavoastră a fost confirmată."
"This is an invalid subscription confirmation code.","Cod de confirmare abonare nevalid."
"This is an invalid subscription ID.","ID abonare nevalid."
"This email address is already assigned to another user.","Această adresă de e-mail aparține unui alt utilizator."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Ne pare rău, dar administratorul refuză abonarea vizitatorilor. Vă rugăm <a href=""%1"">înregistrați-vă</a>."
"Please enter a valid email address.","Introduceți o adresă de email validă."
"This email address is already subscribed.","Această adresă de e-mail este deja abonată."
"The confirmation request has been sent.","Solicitarea de confirmare a fost trimisă."
"Thank you for your subscription.","V-ați abonat cu succes! Vă mulțumim."
"There was a problem with the subscription: %1","A apărut o problemă cu abonarea: %1"
"Something went wrong with the subscription.","A avut loc o eroare cu abonarea."
"You unsubscribed.","V-ați dezabonat."
"Something went wrong while unsubscribing you.","A avut loc o eroare la dezabonarea dumneavoastră."
"Sent","Trimis"
"Cancelled","Anulat"
"Not Sent","Netrimis"
"Sending","Se trimite"
"Paused","Pauză"
"There are no subscribers selected.","Nici un abonat nu este selectat."
"You selected an invalid queue.","Ați selectat un șir nevalid."
"We cannot mark as received subscriber.","Nu poate fi marcat ca abonat recepționat."
"Duplicate template code","Dublează cod șablon"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Urmați acest link pentru a vă dezabona <!-- Această etichetă este pentru dezabonare link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Nicio astfel de entitate cu %fieldName = %fieldValue"
"Choose Store View:","Alegeți vizualizare magazin:"
"Newsletter Message Preview","Previzualizare mesaj Buletin informativ"
"Add to Queue","Adaugă la șir"
"Are you sure that you want to strip all tags?","Sunteți sigur că doriți să scoateți etichetele?"
"Please enter a new template name.","Introduceți un nume de șablon nou."
" Copy"," Copiază"
"Are you sure you want to delete this template?","Sunteți sigut că doriți să ștergeți acest șablon?"
"Sign Up for Our Newsletter:","Înscrie-te pentru newsletter-ul nostru:"
"Enter your email address","Introduceți adresa dumneavoastră de email"
"Subscribe","Abonare"
"Newsletter subscription confirmation","Confirmare abonare la newsletter"
"Thank you for subscribing to our newsletter.","Vă mulțumim pentru abonarea la Buletinul nostru informativ."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Pentru a începe primirea Buletinului informativ, trebuie ca întâi să confirmați abonarea, făcând click pe următorul link:"
"Newsletter subscription success","Abonare la newsletter cu succes"
"You have been successfully subscribed to our newsletter.","V-ați abonat cu succes la Buletinul nostru informativ."
"Newsletter unsubscription success","Dezabonare de la newsletter cu succes"
"You have been unsubscribed from the newsletter.","V-ați dezabonat de la Buletinul informativ."
"Newsletter Template","Șablon newsletter"
"Newsletter Section","Secţiunea newsletter"
"Subscription Options","Opțiuni abonare"
"Allow Guest Subscription","Permiteți abonare vizitator"
"Need to Confirm","Confirmare necesară"
"Confirmation Email Sender","Confirmare Email Expeditor"
"Confirmation Email Template","Confirmare Email șablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"Success Email Sender","Email de succes expeditor"
"Success Email Template","Email de succes șablon"
"Unsubscription Email Sender","Email dezabonare expeditor"
"Unsubscription Email Template","Șablon Email de dezabonare"
"We found no problems.","Nu s-au găsit probleme."
"Subscriber","Abonat"
"Queue Start Date","Dată de început șir"
"Queue Subject","Subiect șir"
"Error Code","Cod de eroare"
"Error Text","Text eroare"
"Queue Start","Început șir"
"Queue End","Sfârșit șir"
"Status","Statut"
"Processed","Procesat"
"Recipients","Destinatari"
"Unsubscribe","Dezabonare"
"Delete","Șterge"
"CSV","CSV"
"Excel XML","XML Excel"
"Email","Email"
"Type","Tip"
"Guest","Vizitator"
"Customer","Utilizator"
"Customer First Name","Prenume client"
"Customer Last Name","Nume client"
"Not Activated","Neactivat"
"Subscribed","Abonat"
"Unsubscribed","Dezabonat"
"Unconfirmed","Neconfirmat"
"Web Site","Web Site"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Newsletter Subscriptions","Abonamente la newsletter"
"We have saved your subscription.","Am salvat abonamentul tău."
"A confirmation request has been sent.","Solicitarea de confirmare a fost trimisă."
"We have removed your newsletter subscription.","Am eliminat abonarea ta la newsletter."
"We have updated your subscription.","Am actualizat abonamentul tău."
"General Options","Opțiuni generale"
"Enabled","Activat"
