"Synchronize","Συγχρονισμός"
"Synchronizing %1 to %2","Συγχρονισμός %1 σε %2"
"Synchronizing...","Συγχρονισμός..."
"The timeout limit for response from synchronize process was reached.","Συμπληρώθηκε το όριο χρονικού ορίου για απόκριση από τη διαδικασία συγχρονισμού."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Το αρχείο %1 δεν είναι αναγνώσιμο"
"File System","Σύστημα Αρχείων"
"Database","Database"
"database ""%1""","βάση δεδομένων ""%1"""
"Parent directory does not exist: %1","Δεν υπάρχει γονικός κατάλογος: %1"
"File system","Σύστημα Αρχείων"
"Unable to save file ""%1"" at ""%2""","Δεν είναι δυνατή η αποθήκευση του αρχείου ""%1"" στο ""%2"""
"Wrong file info format","Λάθος μορφή πληροφοριών αρχείου"
"Path ""%value%"" is protected and cannot be used.","Η Διαδρομή ""%value%"" είναι προστατευμένη και δεν μπορεί να χρησιμοποιηθεί."
"Path ""%value%"" is not available and cannot be used.","Η Διαδρομή ""%value%"" δεν είναι διαθέσιμη και δεν μπορεί να χρησιμοποιηθεί."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Παρακαλώ ορίστε διαθέσιμα ή/και προστατευόμενα μονοπάτια ή καταλόγους πριν από την επικύρωση."
"File with an extension ""%value%"" is protected and cannot be uploaded","Αρχεία με την επέκταση ""%value%"" είναι προστατευμένα και δεν μπορούν να μεταφορτωθούν"
"Unable to create directory: %1","Δεν είναι δυνατή η δημιουργία καταλόγου: %1"
"Unable to save file: %1","Δεν είναι δυνατή η αποθήκευση του αρχείου: %1"
"Storage Configuration for Media","Ρύθμιση παραμέτρων αποθήκευσης για τα πολυμέσα"
"Media Storage","Μέσα αποθήκευσης"
"Select Media Database","Επιλέξτε βάση δεδομένων για τα πολυμέσα"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Χρόνος ενημέρωσης του περιβάλλοντος"
"The ""%1"" file doesn't exist. Verify the file and try again.","Το αρχείο ""%1"" δεν υπάρχει. Επαληθεύστε το αρχείο και προσπαθήστε ξανά."
"Cannot resize image ""%1"" - original image not found","Αδυναμία αλλαγής μεγέθους εικόνας ""%1"" - η αρχική εικόνα δεν βρέθηκε"
"Cannot resize images - product images not found","Αδυναμία αλλαγής μεγέθους εικόνων - εικόνες προϊόντων δεν βρέθηκαν"
