"Synchronize","Sincronizza"
"Synchronizing %1 to %2","Sincronizzazione %1 di %2"
"Synchronizing...","Sincronizzazione..."
"The timeout limit for response from synchronize process was reached.","Raggiunto il limite di timeout per la risposta dal processo di sincronizzazione."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Il file non %1 è leggibile"
"File System","File System"
"Database","Database"
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","La directory genitore non esiste: %1"
"File system","File System"
"Unable to save file ""%1"" at ""%2""","Impossibile salvare il file ""%1"" in ""%2"""
"Wrong file info format","Formato di info file errato"
"Path ""%value%"" is protected and cannot be used.","Il percorso ""%value%"" è protetto e non può essere utilizzato."
"Path ""%value%"" is not available and cannot be used.","Il percorso ""%value%"" non è disponibile e non può essere utilizzato."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Impostare lista percorsi disponibili e/o protetti prima della convalida."
"File with an extension ""%value%"" is protected and cannot be uploaded","Il file con estensione ""%value%"" è protetto e non può essere caricato"
"Unable to create directory: %1","Impossibile creare la directory: %1"
"Unable to save file: %1","Impossibile salvare il file: %1"
"Storage Configuration for Media","Configurazione storage per media"
"Media Storage","Archivio file multimediali"
"Select Media Database","Seleziona database media"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Tempo di aggiornamento ambiente"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
