"Synchronize","Sincronizar"
"Synchronizing %1 to %2","Sincronizando %1 para %2"
"Synchronizing...","Sincronizando..."
"The timeout limit for response from synchronize process was reached.","O tempo limite para a resposta do processo de sincronização foi atingido."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Arquivo %1 não é legível"
"File System","Sistema de arquivos"
"Database","Database"
"database ""%1""","banco de dados ""%1"""
"Parent directory does not exist: %1","Não existe o diretório pai: %1"
"File system","Sistema de arquivos"
"Unable to save file ""%1"" at ""%2""","Não foi possível salvar o arquivo ""% 1"" em ""% 2"""
"Wrong file info format","Formato de arquivo incorreto"
"Path ""%value%"" is protected and cannot be used.","O caminho ""%value%"" está protegido e não pode ser usado."
"Path ""%value%"" is not available and cannot be used.","O caminho ""%value%"" não está disponível e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Por favor defina listas de caminhos disponíveis e/ou protegidos antes da validação."
"File with an extension ""%value%"" is protected and cannot be uploaded","O arquivo com a extensão ""%value%"" está protegido e não pode ser enviado"
"Unable to create directory: %1","Não foi possível criar o diretório: %1"
"Unable to save file: %1","Não foi possível salvar o arquivo: %1"
"Storage Configuration for Media","Configuração de Armazenamento para Midia"
"Media Storage","Armazenamento de Mídia"
"Select Media Database","Selecione a Base de Dados de Mídia"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Tempo de Atualização do Ambiente"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
