"Synchronize","Synchronizuj"
"Synchronizing %1 to %2","Synchronizacja %1 do %2"
"Synchronizing...","Synchronizacja..."
"The timeout limit for response from synchronize process was reached.","Limit czasowy dla odpowiedzi od połączenia z procesem synchronizacji."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Plik %1 nie jest możliwy do odczytania"
"File System","System plików"
"Database","Database"
"database ""%1""","baza danych ""%1"""
"Parent directory does not exist: %1","Katalog nadrzędny nie istnieje: %1"
"File system","System plików"
"Unable to save file ""%1"" at ""%2""","Nie udało się zapisać pliku ""%1"" o ""%2"""
"Wrong file info format","Nieprawidłowy format informacji pliku"
"Path ""%value%"" is protected and cannot be used.","Ścieżka ""%value%"" jest chroniona i nie może być użyta."
"Path ""%value%"" is not available and cannot be used.","Ścieżka ""%value%"" jest niedostępna i nie może być użyta."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Prosimy ustawić listę dostępnych i/lub chronionych ścieżek przed walidacją."
"File with an extension ""%value%"" is protected and cannot be uploaded","Plik z rozszerzeniem %value%"" jest chroniony i nie może być przesłany."""
"Unable to create directory: %1","Nie udało się utworzyć katalogu: %1"
"Unable to save file: %1","Nie udało się zapisać pliku: %1"
"Storage Configuration for Media","Konfiguracja składowania mediów"
"Media Storage","Składowanie mediów"
"Select Media Database","Wybierz bazę danych mediów"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Czas aktualizacji środowiska"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
