"Synchronize","Synchroniser"
"Synchronizing %1 to %2","Synchronisation en cours de %1 vers %2"
"Synchronizing...","Synchronisation en cours..."
"The timeout limit for response from synchronize process was reached.","La limite du délai d’attente de la réponse du processus de synchronisation a été atteinte."
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"File %1 is not readable","Le fichier %1 n’est pas lisible"
"File System","Système de fichiers"
"Database","Base de données"
"Sorry, something went wrong during image resize. Please see log for details.","Sorry, something went wrong during image resize. Please see log for details."
"database ""%1""","base de données ""%1"""
"Parent directory does not exist: %1","Le répertoire parent n’existe pas: %1"
"File system","Système de fichiers"
"Unable to save file ""%1"" at ""%2""","Impossible de sauvegarder le fichier ""%1"" sur ""%2"""
"Wrong file info format","Mauvais format d'informations de fichier"
"File validation failed.","File validation failed."
"Path ""%value%"" is protected and cannot be used.","Le chemin ""%value%"" est protégé et ne peut pas être utilisé."
"Path ""%value%"" is not available and cannot be used.","Le chemin ""%value%"" n'est pas correct et ne peut pas être utilisé."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\").","Path ""%value%"" may not include parent directory traversal (""../"", ""..\")."
"Please set available and/or protected paths list(s) before validation.","Veuillez renseigner correctement la liste des chemins avant validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","Le fichier avec l'extension ""%value%"" est protégé et ne peut pas être uploadé"
"Unable to create directory: %1","Impossible de créer le répertoire: %1"
"Unable to save file: %1","Impossible de sauvegarder le fichier: %1"
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
"Image resize: %1","Image resize: %1"
"Storage Configuration for Media","Configuration du stockage des medias"
"Media Storage","Stockage des medias"
"Select Media Database","Sélectionner la base de données des medias"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location and then ""Save Config"". Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location and then ""Save Config"". Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Temps de mise à jour de l'environnement"
