"Synchronize","Синхронизирай"
"Synchronizing %1 to %2","Синхронизиране на %1 да %2"
"Synchronizing...","Синхронизиране..."
"The timeout limit for response from synchronize process was reached.","Изчакването за отговор от синхронизирането е достигнало ограничението."
"File %1 does not exist","%1 файл не съществува"
"File %1 is not readable","Файл %1 не се чете"
"File System","Системен файл"
"Database","База данни"
"database ""%1""","база данни ""%1"""
"Parent directory does not exist: %1","Основна директория не съществува: %1"
"File system","Системен файл"
"Unable to save file ""%1"" at ""%2""","Не може да запише файл ""%1"" в ""%2"""
"Wrong file info format","Грешен формат на файла"
"Path ""%value%"" is protected and cannot be used.","Пътят ""%value%"" е защитен и не може да се използва."
"Path ""%value%"" is not available and cannot be used.","Пътят ""%value%"" не е достъпен и не може да се използва."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Пътят ""%value%"" не може да включва скосена основна директория("".. /"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Задайте налични и/или защитени пътища списък(ци) преди ратифициране."
"File with an extension ""%value%"" is protected and cannot be uploaded","Файл с разширение ""%value%"" е защитен и не може да бъде качен"
"Unable to create directory: %1","Не може да създаде директория: %1"
"Unable to save file: %1","Не може да запише файл: %1"
"Storage Configuration for Media","Съхранение на конфигурация за медии"
"Media Storage","Медия склад"
"Select Media Database","Изберете мултимедийна база данни"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","След избора на нов медии за съхранение местоположение, натиснете бутона синхронизиране, за да прехвърлите всички медии на това място. Медии няма да бъде наличен в новото местоположение докато процесът на синхронизация е завършен."
"Environment Update Time","Среда на времева актуализация"
"The ""%1"" file doesn't exist. Verify the file and try again.","Файлът ""%1"" не съществува. Проверете файла и опитайте пак."
"Cannot resize image ""%1"" - original image not found","Не може да зе преоразмери изображението ""%1"" - няма оригинал"
"Cannot resize images - product images not found","Не може да се преоразмерят изображенията - няма изображения за продукта"
