"Synchronize","Falsches Datei Info Format"
"Synchronizing %1 to %2","Synchronisieren von %1 bis %2"
"Synchronizing...","Synchronisiere..."
"The timeout limit for response from synchronize process was reached.","Die Time-out Limite für die Antwort des Synchronisationsvorgangs wurde erreicht."
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","Datei %1 kann nicht gelesen werden"
"File System","Dateisystem"
"Database","Database"
"database ""%1""","Datenbank ""%1"""
"Parent directory does not exist: %1","Übergeordnetes Verzeichnis ist nicht vorhanden: %1"
"File system","Dateisystem"
"Unable to save file ""%1"" at ""%2""","Datei ""%1"" kann nicht in ""%2"" gespeichert werden"
"Wrong file info format","Falsches Dateiinfo-Format"
"Path ""%value%"" is protected and cannot be used.","Pfad ""%value%"" ist geschützt und kann nicht verwendet werden."
"Path ""%value%"" is not available and cannot be used.","Pfad ""%value%"" ist nicht verfügbar und kann nicht verwendet werden."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Path ""%value%"" may not include parent directory traversal (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Bitte setzen Sie verfügbare und/oder geschützte Pfade Liste(n) vor der Validierung."
"File with an extension ""%value%"" is protected and cannot be uploaded","Datei mit der Erweiterung ""%value%"" ist geschützt und kann nicht hochgeladen werden,"
"Unable to create directory: %1","Verzeichnis kann nicht erstellt werden: %1"
"Unable to save file: %1","Datei kann nicht gespeichert werden: %1"
"Storage Configuration for Media","Speicherkonfiguration für Medien"
"Media Storage","Medienspeicher"
"Select Media Database","Wählen Sie die Mediendatenbank"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Update-Zeit für die Umgebung"
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
