"Export","Expor"
"Export Settings","Pengaturan Ekspor"
"Entity Type","Jenis Entity"
"Export File Format","Ekspor Format File"
"Fields Enclosure","Bidang Lampiran"
"From","Dari"
"To","Ke"
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options."
"Fixed Price: From","Harga Tetap: Dari"
"Exclude","Mengecualikan"
"Attribute Label","Lebel atribut"
"Attribute Code","Kode Atribut"
"Filter","Saring"
"Unknown attribute filter type","Jenis filter atribut tak dikenal"
"Download","Unduh"
"Check Data","Periksa Data"
"Import","Impor"
"Import Settings","Pengaturan Impor"
"Import Behavior","Mengimpor Tindakan"
" "," "
"Validation Strategy","Validation Strategy"
"Stop on Error","Behenti pada Kesalahan"
"Skip error entries","Lewati kesalahan masuk"
"Allowed Errors Count","Penghitungan Kesalahan yang Diizinkan"
"Please specify number of errors to halt import process","Silahkan tentukan jumlah kesalahan untuk menghentikan proses impor"
"Field separator","Pemisah Bidang"
"Multiple value separator","Beberapa pemisah nilai"
"Fields enclosure","Bidang lampiran"
"File to Import","File untuk Mengimpor"
"Select File to Import","Pilih File untuk Mengimpor"
"Images File Directory","Berkas Direktori Foto"
"For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder.","For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder."
"Download Sample File","Download Contoh File"
"Please correct the data sent value.","Harap perbaiki nilai pengiriman data."
"Import/Export","Impor/Ekspor"
"History","Riwayat"
"Import History","Sejarah Impor"
"Import history","Sejarah impor"
"There is no sample file for this entity.","Tidak ada file contoh untuk entitas ini."
"Status","Keadaan"
"Maximum error count has been reached or system error is occurred!","Jumlah kesalahan maksimum telah tercapai atau kesalahan sistem terjadi!"
"Import successfully done","Impor berhasil dilakukan"
"Sorry, but the data is invalid or the file is not uploaded.","Maaf, tapi datanya tidak valid atau file tidak diunggah."
"The file was not uploaded.","File tidak diunggah."
"Data validation failed. Please fix the following errors and upload the file again.","Validasi data gagal. Harap perbaiki kesalahan berikut dan unggah file lagi."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Baris yang diperiksa: %1, entitas yang diperiksa: %2, baris tidak valid: %3, kesalahan total: %4"
"This file is empty. Please try another one.","Berkas ini kosong. Silahkan coba yang lain."
