"Export","エクスポート"
"Export Settings","エクスポート設定"
"Entity Type","エンティティタイプ"
"Export File Format","エクスポートファイルフォーマット"
"Fields Enclosure","フィールドエンクロージャ"
"From","開始"
"To","終了"
"We can't filter an attribute with no attribute options.","属性を属性なしオプションでフィルターすることはできません。"
"Fixed Price: From","価格変更: 開始"
"Exclude","除外"
"Attribute Label","属性ラベル"
"Attribute Code","属性コード"
"Filter","フィルタ"
"Unknown attribute filter type","不明な属性フィルタタイプ"
"Download","ダウンロード"
"Check Data","データチェック"
"Import","インポート"
"Import Settings","インポート設定"
"Import Behavior","インポートの動作"
" "," "
"Stop on Error","エラーで停止"
"Skip error entries","エラーエントリーをスキップ"
"Allowed Errors Count","許可されたエラー数"
"Please specify number of errors to halt import process","インポートのプロセスを停止させるエラー数を指定してください"
"Field separator","フィールド仕分け"
"Multiple value separator","複数値仕分け"
"Fields enclosure","フィールドエンクロージャ"
"File to Import","インポートするファイル"
"Select File to Import","インポートするファイルを選択"
"Images File Directory","画像ファイルディレクトリ"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","タイプ""Local Server""にはMagentoインストールに関連のあるパスを使ってください,
                                e.g. var/export, var/import, var/export/some/dir"
"Download Sample File","ダウンロードサンプルファイル"
"Please correct the data sent value.","送られたデータの値を修正してください。"
"Import/Export","インポート/エクスポート"
"History","履歴"
"Import History","インポート履歴"
"Import history","履歴インポート"
"There is no sample file for this entity.","このエンティティに対するサンプルファイルはありません。"
"Status","ステータス"
"Maximum error count has been reached or system error is occurred!","エラーカウントが最大値に達したかシステムエラーが発生しました！"
"Import successfully done","インポートが正しく行われました"
"Sorry, but the data is invalid or the file is not uploaded.","申し訳ありません、データが無効かファイルがアップロードされていません。"
"The file was not uploaded.","ファイルがアップロードされました"
"Data validation failed. Please fix the following errors and upload the file again.","データの検証に失敗しました。次のエラーを修正し、ファイルを再度アップロードしてください。"
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","確認した行: %1, 確認したエンティティ: %2, 無効な行: %3, 総エラー: %4"
"This file is empty. Please try another one.","このファイルは空です。別のファイルをお試しください。"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","エラーを修正してファイルをアップロードしなおし、""インポート""をクリックしてください"
"File is valid! To start import process press ""Import"" button","ファイルは正常です。インポートを開始するには ""インポート"" ボタンをクリックしてください。"
"The file is valid, but we can't import it for some reason.","ファイルは有効ですが何らかの問題でインポートできません。"
"Show more","もっと見る"
"Additional data","追加データ"
"Following Error(s) has been occurred during importing process:","インポートプロセス中に以下のエラーが発生しました:"
"Only the first 100 errors are shown. ","最初の100個のエラーのみが表示されます。 "
"Download full report","完全版レポートをダウンロード"
"in row(s):","行内に:"
"Make sure your file isn't more than %1M.","ファイルが%1Mを超えてないことを確認してください。"
"We can't provide the upload settings right now.","現在アップロード設定を提供できません。"
"Created: %1, Updated: %2, Deleted: %3","作成: %1, アップロード: %2, 削除: %3"
"Please enter a correct entity model.","正しいエンティティモデルを入力してください。"
"The entity adapter object must be an instance of %1 or %2.","エンティティアダプターオブジェクトは%1か%2のインスタンスではなければなりません。"
"The input entity code is not equal to entity adapter code.","インプットエンティティコードはエンティティアダプターコードと同じではありません"
"Please enter a correct entity.","正しいエンティティを入力してください"
"The adapter object must be an instance of %1.","アダプターオブジェクトは%1のインスタンスでなければなりません。"
"Please correct the file format.","ファイルフォーマットを修正してください"
"Begin export of %1","%1のエクスポートを開始"
"There is no data for the export.","エクスポートのためのデータはありません。"
"Exported %1 rows.","%1行をエクスポートしました"
"The export is finished.","エクスポートは終了しました。"
"Please provide filter data.","フィルターデータを提供してください"
"We can't determine the attribute filter type.","属性フィルタータイプを判別できません。"
"Entity is unknown","エンティティが不明です"
"We can't identify this file format.","ファイルフォーマットを特定できません。"
"Please correct the value for ""%1"" column.","""%1""カラムの値を修正してください。"
"Please specify the writer.","ライターを指定してください。"
