"Export","අපනයන"
"Export Settings","අපනයන සැකසුම්"
"Entity Type","ආයතන වර්ගය"
"Export File Format","අපනයන ගොනු ආකෘතිය"
"Fields Enclosure","ක්ෂේත්ර සංවෘත"
"From","සිට"
"To","වෙත"
"We can't filter an attribute with no attribute options.","අපට උපලක්ෂණ විකල්ප නොමැති උපලක්ෂණයක් පෙරීමට නොහැක."
"Fixed Price: From","ස්ථාවර මිල: සිට"
"Exclude","බැහැර කරන්න"
"Attribute Label","ගුණාංග ලේබලය"
"Attribute Code","ගුණාංග කේතය"
"Filter","පෙරහන"
"Unknown attribute filter type","නොදන්නා ගුණාංග පෙරහන වර්ගය"
"Download","බාගත"
"Check Data","දත්ත පරීක්ෂා කරන්න"
"Import","ආනයන"
"Import Settings","ආයාත සැකසුම්"
"Import Behavior","ආයාත හැසිරීම"
" "," "
"Stop on Error","දෝෂය මත නවත්වන්න"
"Skip error entries","දෝෂ ඇතුළත් කිරීම් මඟ හරින්න"
"Allowed Errors Count","අවසර ලත් දෝෂ ගණන"
"Please specify number of errors to halt import process","ආනයන ක්‍රියාවලිය නැවැත්වීමට කරුණාකර දෝෂ ගණන සඳහන් කරන්න"
"Field separator","ක්ෂේත්ර බෙදුම්කරු"
"Multiple value separator","බහු අගය බෙදුම්කරු"
"Fields enclosure","ක්ෂේත්ර ආවරණය"
"File to Import","ආයාත කිරීමට ගොනුව"
"Select File to Import","ආයාත කිරීමට ගොනුව තෝරන්න"
"Images File Directory","පින්තූර ගොනු නාමාවලිය"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir"
"Download Sample File","නියැදි ගොනුව බාගන්න"
"Please correct the data sent value.","කරුණාකර යවන ලද දත්ත අගය නිවැරදි කරන්න."
"Import/Export","ආනයන අපනයන"
"History","ඉතිහාසය"
"Import History","ආයාත ඉතිහාසය"
"Import history","ආනයන ඉතිහාසය"
"There is no sample file for this entity.","මෙම ආයතනය සඳහා නියැදි ගොනුවක් නොමැත."
"Status","තත්ත්වය"
"Maximum error count has been reached or system error is occurred!","උපරිම දෝෂ ගණන ළඟා වී හෝ පද්ධති දෝෂයක් සිදුවී ඇත!"
"Import successfully done","ආනයනය සාර්ථකව සිදු කර ඇත"
"Sorry, but the data is invalid or the file is not uploaded.","කණගාටුයි, නමුත් දත්ත වලංගු නොවේ හෝ ගොනුව උඩුගත කර නැත."
"The file was not uploaded.","ගොනුව උඩුගත කර නැත."
"Data validation failed. Please fix the following errors and upload the file again.","දත්ත වලංගු කිරීම අසාර්ථක විය. කරුණාකර පහත දෝෂ නිවැරදි කර ගොනුව නැවත උඩුගත කරන්න."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","පරීක්ෂා කළ පේළි: %1, පරීක්ෂා කළ ආයතන: %2, වලංගු නොවන පේළි: %3, සම්පූර්ණ දෝෂ: %4"
"This file is empty. Please try another one.","මෙම ගොනුව හිස් ය. කරුණාකර වෙනත් එකක් උත්සාහ කරන්න."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","කරුණාකර දෝෂ නිවැරදි කර ගොනුව නැවත උඩුගත කරන්න නැතහොත් දෝෂ සහිත පේළි මඟ හැරීමට ""ආයාත කරන්න"" බොත්තම ඔබන්න"
"File is valid! To start import process press ""Import"" button","ගොනුව වලංගු වේ! ආනයන ක්‍රියාවලිය ආරම්භ කිරීමට ""ආනයන"" බොත්තම ඔබන්න"
"The file is valid, but we can't import it for some reason.","ගොනුව වලංගු වේ, නමුත් අපට කිසියම් හේතුවක් නිසා එය ආයාත කළ නොහැක."
"Show more","තව පෙන්වන්න"
"Additional data","අමතර දත්ත"
"Following Error(s) has been occurred during importing process:","ආනයනය කිරීමේ ක්‍රියාවලියේදී පහත දෝෂ(ය) සිදුවී ඇත:"
"Only the first 100 errors are shown. ","පළමු දෝෂ 100 පමණක් පෙන්වයි. "
"Download full report","සම්පූර්ණ වාර්තාව බාගන්න"
"in row(s):","පේළියේ (ය):"
"Make sure your file isn't more than %1M.","ඔබගේ ගොනුව %1M ට වඩා වැඩි නොවන බවට වග බලා ගන්න."
"We can't provide the upload settings right now.","අපට දැන් උඩුගත කිරීමේ සැකසීම් සැපයිය නොහැක."
"Created: %1, Updated: %2, Deleted: %3","සාදන ලද: %1, යාවත්කාලීන කරන ලද: %2, මකා දැමූ: %3"
"Please enter a correct entity model.","කරුණාකර නිවැරදි ආයතන ආකෘතියක් ඇතුළු කරන්න."
"The entity adapter object must be an instance of %1 or %2.","ආයතන ඇඩැප්ටර වස්තුව %1 හෝ %2හි අවස්ථාවක් විය යුතුය."
"The input entity code is not equal to entity adapter code.","ආදාන ආයතන කේතය ආයතන ඇඩැප්ටර කේතයට සමාන නොවේ."
"Please enter a correct entity.","කරුණාකර නිවැරදි ආයතනයක් ඇතුළු කරන්න."
"The adapter object must be an instance of %1.","ඇඩැප්ටර වස්තුව %1හි අවස්ථාවක් විය යුතුය."
"Please correct the file format.","කරුණාකර ගොනු ආකෘතිය නිවැරදි කරන්න."
"Begin export of %1","%1අපනයනය ආරම්භ කරන්න"
"There is no data for the export.","අපනයනය සඳහා දත්ත නොමැත."
"Exported %1 rows.","පේළි %1 ක් අපනයනය කරන ලදී."
"The export is finished.","අපනයනය අවසන්."
"Please provide filter data.","කරුණාකර පෙරහන් දත්ත සපයන්න."
"We can't determine the attribute filter type.","අපට ගුණාංග පෙරහන් වර්ගය තීරණය කළ නොහැක."
"Entity is unknown","ආයතනය නොදනී"
"We can't identify this file format.","අපට මෙම ගොනු ආකෘතිය හඳුනාගත නොහැක."
"Please correct the value for ""%1"" column.","කරුණාකර ""%1"" තීරුව සඳහා අගය නිවැරදි කරන්න."
"Please specify the writer.","කරුණාකර ලේඛකයා සඳහන් කරන්න."
"The destination file path must be a string.","ගමනාන්ත ගොනු මාර්ගය තන්තුවක් විය යුතුය."
"The destination directory is not writable.","ගමනාන්ත නාමාවලිය ලිවිය නොහැක."
"Destination file is not writable","ගමනාන්ත ගොනුව ලිවිය නොහැක"
"The header column names are already set.","ශීර්ෂක තීරු නම් දැනටමත් සකසා ඇත."
"in row(s)","පේළියේ (ය)"
"The validation is complete.","වලංගු කිරීම සම්පූර්ණයි."
"This file does not contain any data.","මෙම ගොනුවේ කිසිදු දත්තයක් අඩංගු නොවේ."
"Begin import of ""%1"" with ""%2"" behavior","""%1"" ආයාත කිරීම ""%2"" හැසිරීම සමඟ ආරම්භ කරන්න"
"The import was successful.","ආනයනය සාර්ථක විය."
"The file you uploaded has no extension.","ඔබ උඩුගත කළ ගොනුවට දිගුවක් නොමැත."
"The source file moving process failed.","මූලාශ්‍ර ගොනු චලනය කිරීමේ ක්‍රියාවලිය අසාර්ථක විය."
"Begin data validation","දත්ත වලංගු කිරීම ආරම්භ කරන්න"
