"Export","Ver"
"Export Settings","Ayarları Dışa Aktar"
"Entity Type","Varlık Tipi"
"Export File Format","Dosya Biçimini Dışa Aktar"
"Fields Enclosure","Alanlar Muhafaza"
"From","Baş"
"To","Bit"
"We can't filter an attribute with no attribute options.","Hiçbir öznitelik seçeneği olmaksızın bir niteliği filtreleyemiyoruz."
"Fixed Price: From","Sabit Fiyat: Gönderen"
"Exclude","Hariç Tut"
"Attribute Label","Özellik Etiketi"
"Attribute Code","Özellik Kodu"
"Filter","Filtre"
"Unknown attribute filter type","Bilinmeyen öznitelik filtresi türü"
"Download","İndir"
"Check Data","Veriyi Kontrol Et"
"Import","Veri Al"
"Import Settings","Ayarları Al"
"Import Behavior","İçe Aktarma Davranışı"
" "," "
"Stop on Error","Hata üzerinde dur"
"Skip error entries","Hata girişlerini atla"
"Allowed Errors Count","İzin Verilen Hatalar Sayısı"
"Please specify number of errors to halt import process","İçe aktarma işlemini durdurmak için lütfen hataların sayısını belirtin"
"Field separator","Alan ayırıcı"
"Multiple value separator","Çoklu değer ayırıcı"
"Fields enclosure","Alanlar muhafaza"
"File to Import","İçe Aktarılacak Dosya"
"Select File to Import","İçe Aktarılacak Dosyayı Seç"
"Images File Directory","Görüntü Dosyası Rehberi"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir"
"Download Sample File","Örnek Dosyayı İndirin"
"Please correct the data sent value.","Lütfen veri gönderilen değeri düzeltin."
"Import/Export","İçeri Aktarma/Dışarı Çıkarma"
"History","Geçmiş"
"Import History","İçe aktarma geçmişi"
"Import history","İçe aktarma geçmişi"
"There is no sample file for this entity.","Bu varlık için örnek dosyası yok."
"Status","Durum"
"Maximum error count has been reached or system error is occurred!","Maksimum hata sayısına ulaşıldı veya sistem hatası oluştu!"
"Import successfully done","İçe aktarma başarıyla tamamlandı"
"Sorry, but the data is invalid or the file is not uploaded.","Üzgünüz, ancak veriler geçersiz veya dosya yüklenmedi."
"The file was not uploaded.","Dosya yüklenmedi."
"Data validation failed. Please fix the following errors and upload the file again.","Veri doğrulaması başarısız oldu. Lütfen aşağıdaki hataları düzeltin ve dosyayı tekrar yükleyin."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Kontrol edilen satırlar: %1, kontrol edilen öğeler: %2, geçersiz satırlar: %3, toplam hata sayısı: %4"
"This file is empty. Please try another one.","Bu dosya boş. Lütfen başka bir tane deneyin."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Lütfen hataları düzeltin ve dosyayı yeniden yükleyin veya hataları hatalı olarak atlamak için yalnızca ""İçe Aktar"" düğmesine basın"
"File is valid! To start import process press ""Import"" button","Dosya geçerli! Veri alma işlemini başlatmak için ""Veri Al"" tuşuna basınız"
"The file is valid, but we can't import it for some reason.","Dosya geçerli, ama herhangi bir nedenle içe aktaramıyoruz."
"Show more","Daha fazla göster"
"Additional data","Ek veri"
