"Export","Xuất"
"Export Settings","Xuất thiết lập"
"Entity Type","Loại thực thể"
"Export File Format","Định dạng tập tin xuất khẩu"
"Fields Enclosure","Fields Enclosure"
"From","Từ"
"To","Đến"
"We can't filter an attribute with no attribute options.","Chúng tôi không thể lọc một thuộc tính nếu không có tùy chọn của thuộc tính."
"Fixed Price: From","Fixed Price: From"
"-- Not Selected --","-- Not Selected --"
"Exclude","Ngoại trừ"
"Attribute Label","Nhãn hiệu thuộc tính"
"Attribute Code","Mã thuộc tính"
"Filter","Bộ lọc"
"Unknown attribute filter type","Loại bộ lọc thuộc tính không xác định"
"Download","Tải về"
"Check Data","Kiểm tra dữ liệu"
"Import","Nhập"
"Import Settings","Nhập thiết lập"
"Import Behavior","Hành vi nhập"
"Validation Strategy","Validation Strategy"
"Stop on Error","Stop on Error"
"Skip error entries","Skip error entries"
"Allowed Errors Count","Được cho phép lỗi số"
"Please specify number of errors to halt import process","Hãy chỉ định số lỗi để ngăn chặn quá trình nhập"
"Field separator","Tách trường"
"Multiple value separator","Tách đa giá trị"
"Empty attribute value constant","Empty attribute value constant"
"Fields enclosure","Fields enclosure"
"File to Import","Tệp để nhập"
"Select File to Import","Chọn tệp để nhập"
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"Images File Directory","Hình ảnh tập tin thư mục"
". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'",". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'"
"Download Sample File","Tải tệp tin mẫu"
"What is this?","What is this?"
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Please correct the data sent value.","Hãy sửa giá trị dữ liệu được gửi."
"Please provide valid export file name","Please provide valid export file name"
"File %1 deleted","File %1 deleted"
"Sorry, but the data is invalid or the file is not uploaded.","Xin lỗi, nhưng các dữ liệu không hợp lệ hoặc các tập tin không được tải lên."
"There are no export file with such name %1","There are no export file with such name %1"
"%1 is not a valid file","%1 is not a valid file"
"Import/Export","Nhập/Xuất"
"History","Lịch sử"
"Import History","Nhập lịch sử"
"Import history","Nhập lịch sử"
"Incorrect entity name.","Incorrect entity name."
"There is no sample file for this entity.","Có là không có tệp mẫu cho tổ chức này."
"Status","Trạng thái"
"Maximum error count has been reached or system error is occurred!","Đã đạt đến số lượng tối đa lỗi hoặc hệ thống có lỗi!"
"Only the first 100 errors are shown. ","Chỉ có các lỗi đầu tiên 100 được hiển thị. "
"Download full report","Tải về báo cáo đầy đủ"
"Import successfully done","Nhập khẩu thực hiện thành công"
"The file was not uploaded.","Các tập tin không được tải lên."
"Data validation failed. Please fix the following errors and upload the file again.","Xác nhận dữ liệu không thành công. Xin vui lòng sửa chữa các lỗi sau đây và tải lên các tập tin một lần nữa."
