"Export","Exportálás"
"Export Settings","Beállítások exportálása"
"Entity Type","Entitás típusa"
"Export File Format","Exportálási Fájlformátum"
"Fields Enclosure","Fields Enclosure"
"From","Ettől"
"To","Eddig"
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options."
"Fixed Price: From","Fixed Price: From"
"Exclude","Kizárás"
"Attribute Label","Jellemző cimke"
"Attribute Code","Jellemző kód"
"Filter","Szűrés"
"Unknown attribute filter type","Ismeretlen jellemző-szűrő típus"
"Download","Letöltés"
"Check Data","Adatok ellenőrzése"
"Import","Importálás"
"Import Settings","Beállítások importálása"
"Import Behavior","Importálási viselkedés"
" "," "
"Validation Strategy","Validation Strategy"
"Stop on Error","Hibánál megáll"
"Skip error entries","Hibás sorok kihagyása"
"Allowed Errors Count","Hibák megengedet maximális száma"
"Please specify number of errors to halt import process","Adja meg hibák számát amit átlépve az importálás megszakad"
"Field separator","Mezőelválasztó"
"Multiple value separator","Többszörös érték elválasztó"
"Fields enclosure","Fields enclosure"
"File to Import","Importálni kívánt fájl"
"Select File to Import","Válassza ki az importálni kívánt fájl"
"Images File Directory","Képek mappája"
"For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder.","For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder."
"Download Sample File","Download Sample File"
"Please correct the data sent value.","Please correct the data sent value."
"Import/Export","Import/Export"
"History","Előzmények"
"Import History","Import történet"
"Import history","Import történet"
"There is no sample file for this entity.","There is no sample file for this entity."
"Status","Állapot"
"Maximum error count has been reached or system error is occurred!","Maximum error count has been reached or system error is occurred!"
"Import successfully done","Sikeres importálás"
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded."
"The file was not uploaded.","A fájl nincs feltöltve."
"Data validation failed. Please fix the following errors and upload the file again.","Az adatellenőrzés sikertelen. javítsa ki a következő hibákat, és töltse fel újra a fájlt."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
"This file is empty. Please try another one.","Ez a file üres. Próbálkozzon másikkal."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors"
"File is valid! To start import process press ""Import"" button","File is valid! To start import process press ""Import"" button"
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason."
"Show more","Mutass többet"
"Additional data","További adatok"
"Following Error(s) has been occurred during importing process:","Following Error(s) has been occurred during importing process:"
"Only the first 100 errors are shown. ","Csak az első 100 hiba jelenik meg. "
"Download full report","Teljes jelentés letöltése"
"in row(s):","a sorokban:"
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
