"Export","Esporta"
"Export Settings","Esporta impostazioni"
"Entity Type","Tipo entità"
"Export File Format","Esporta formato file"
"Fields Enclosure","Delimitatore di campi"
"From","Dal"
"To","Al"
"We can't filter an attribute with no attribute options.","Non è possibile filtrare un attributo senza opzioni attributo."
"Fixed Price: From","Prezzo fisso: da"
"-- Not Selected --","-- Not Selected --"
"Exclude","Escludi"
"Attribute Label","Etichetta attributo"
"Attribute Code","Codice Attributo"
"Filter","Filtro"
"Unknown attribute filter type","Tipo di filtro di attributo sconosciuto"
"Download","Scarica"
"Check Data","Verifica dati"
"Import","Importa"
"Import Settings","Importa impostazioni"
"Import Behavior","Comportamento importazione"
"Validation Strategy","Validation Strategy"
"Stop on Error","Interrompere in caso di errore"
"Skip error entries","Ignorare le voci di errore"
"Allowed Errors Count","Conteggio errori consentiti"
"Please specify number of errors to halt import process","Specificare il numero di errori per fermare il processo di importazione"
"Field separator","Separatore campo"
"Multiple value separator","Valori multipli separatori"
"Empty attribute value constant","Empty attribute value constant"
"Fields enclosure","Delimitatore di campi"
"File to Import","File da importare"
"Select File to Import","Selezionare il File da importare"
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"Images File Directory","Directory dei file immagini"
". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'",". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'"
"Download Sample File","Scaricare file di esempio"
"What is this?","What is this?"
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Please correct the data sent value.","Correggi il valore dei dati inviati."
"Please provide valid export file name","Please provide valid export file name"
"File %1 deleted","File %1 deleted"
"Sorry, but the data is invalid or the file is not uploaded.","Ci dispiace, ma i dati non sono validi o il file non viene caricato."
"There are no export file with such name %1","There are no export file with such name %1"
"%1 is not a valid file","%1 is not a valid file"
"Import/Export","Importa/Esporta"
