"Export","خروجی گرفتن"
"Export Settings","تنظیمات صدور"
"Entity Type","نوع موجودیت"
"Export File Format","فرمت فایل خروجی گرفتن"
"Fields Enclosure","جایگاه فیلدها"
"From","از"
"To","به"
"We can't filter an attribute with no attribute options.","ما نمی توانیم یک ویژگی را بدون هیچ ویژگی فیلتر کنیم."
"Fixed Price: From","قیمت ثابت: از"
"Exclude","استثنا"
"Attribute Label","برچسب ویژگی"
"Attribute Code","کد ویژگی"
"Filter","فیلتر"
"Unknown attribute filter type","نوع فیلتر ویژگی ناشناس"
"Download","دانلود"
"Check Data","بررسی داده"
"Import","وارد کردن"
"Import Settings","تنظیمات ورود"
"Import Behavior","رفتار ورود"
" "," "
"Stop on Error","توقف در هنگام خطا"
"Skip error entries","رد کردن خطای ورودی ها"
"Allowed Errors Count","تعداد خطاهای مجاز"
"Please specify number of errors to halt import process","لطفا تعداد خطاها را برای متوقف کردن فرآیند وارد کردن مشخص کنید"
"Field separator","جدا کننده فیلد"
"Multiple value separator","جداکننده مقدار چندگانه"
"Fields enclosure","جایگاه فیلدها"
"File to Import","وارد کردن فایل"
"Select File to Import","انتخاب فایل برای وارد کردن"
"Images File Directory","مسیرفایل تصاویر"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir"
"Download Sample File","دانلود فایل نمونه"
"Please correct the data sent value.","لطفا مقدار داده فرستاده شده را اصلاح کنید."
"Import/Export","وارد کردن/ خروجی گرفتن"
"History","تاريخچه"
"Import History","تاریخچه وارد کردن"
"Import history","تاریخچه وارد کردن"
"There is no sample file for this entity.","هیچ فایل نمونه ای برای این ورودی وجود ندارد."
"Status","وضعيت"
"Maximum error count has been reached or system error is occurred!","تعداد خطا به حد نصاب رسیده است یا خطای سیستم رخ داده است!"
"Import successfully done","وارد کردن با موفقیت انجام شد"
"Sorry, but the data is invalid or the file is not uploaded.","با عرض پوزش، داده نامعتبر است یا فایل آپلود نشده است."
"The file was not uploaded.","فایل آپلود نشد."
"Data validation failed. Please fix the following errors and upload the file again.","اعتبار سنجی داده ها انجام نشد. لطفا خطاهای زیر را رفع کرده و فایل را دوباره آپلود کنید."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","ردیف های: %1 بررسی شده، ورودی های: %2 ثبت شده، ردیف های: %3 نامعتبر هستند، کل خطاها: %4"
"This file is empty. Please try another one.","این فایل خالی است. لطفا یکی دیگر را امتحان کنید."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","لطفا خطاها را رفع کنید و فایل را دوباره آپلود کنید یا فقط دکمه «وارد کردن» را فشار دهید تا سطرهای حاوی خطا رد شوند"
"File is valid! To start import process press ""Import"" button","فايل معتبر است! براي شروع روند وارد کردن روی ""وارد کردن"" کلیک کنید"
"The file is valid, but we can't import it for some reason.","فایل معتبر است، اما نمیتوانیم به دلایلی وارد شویم."
"Show more","نمایش بیشتر"
"Additional data","اطلاعات اضافی"
"Following Error(s) has been occurred during importing process:","در طول فرآیند وارد کردن خطا(های) زیر رخ داده است:"
"Only the first 100 errors are shown. ","فقط 100 خطای اول نمایش داده می شود. "
"Download full report","دانلود گزارش کامل"
"in row(s):","در ردیف (های):"
"Make sure your file isn't more than %1M.","اطمینان حاصل کنید که فایل شما بیش از %1مگابایت نیست."
"We can't provide the upload settings right now.","ما اکنون نمی توانیم تنظیمات آپلود را ارائه دهیم."
"Created: %1, Updated: %2, Deleted: %3","ایجاد شده: %1، به روز شده: %2، حذف شده: %3"
"Please enter a correct entity model.","لطفا یک مدل ورودی صحیح وارد کنید."
"The entity adapter object must be an instance of %1 or %2.","آداپتور ورودی باید یک نمونه از%1 یا %2 باشد."
"The input entity code is not equal to entity adapter code.","کد ورودی برابر با کد آداپتور وارد شده نیست."
"Please enter a correct entity.","لطفا یک ورودی صحیح وارد کنید."
"The adapter object must be an instance of %1.","آداپتور باید یک نمونه از %1 باشد."
"Please correct the file format.","لطفا فرمت فایل را اصلاح کنید."
"Begin export of %1","آغاز خروجی گرفتن از %1"
"There is no data for the export.","هیچ داده ای برای خروجی گرفتن وجود ندارد."
"Exported %1 rows.","%1 ردیف خروجی گرفته شده است."
"The export is finished.","خروجی گرفتن به پایان رسید."
"Please provide filter data.","لطفا داده های فیلتر را ارائه دهید."
"We can't determine the attribute filter type.","ما نمی توانیم نوع فیلتر ویژگی را تعیین کنیم."
"Entity is unknown","ورودی ناشناس است"
"We can't identify this file format.","ما نمی توانیم این فرمت فایل را شناسایی کنیم."
"Please correct the value for ""%1"" column.","لطفا مقدار ستون ""%1"" را اصلاح کنید."
"Please specify the writer.","نویسنده را مشخص کنید."
"The destination file path must be a string.","مسیر فایل مقصد باید یک رشته باشد."
"The destination directory is not writable.","پوشه مقصد قابل ویرایش نیست."
"Destination file is not writable","فايل مقصد قابل ویرایش نيست"
"The header column names are already set.","نام سرصفحه ستون قبلا تنظیم شده است."
"in row(s)","در ردیف (ها)"
"The validation is complete.","تأیید اعتبار کامل شد."
"This file does not contain any data.","این فایل حاوی هیچ اطلاعاتی نیست."
"Begin import of ""%1"" with ""%2"" behavior","وارد کردن ""%1"" را با رفتار ""%2"" شروع کنید"
"The import was successful.","وارد کردن با موفقیت انجام شد."
"The file you uploaded has no extension.","فایل آپلود شده دارای پسوند نیست."
"The source file moving process failed.","روند انتقال فایل منبع، ناموفق بود."
"Begin data validation","اعتبار سنجی داده ها را آغاز کنید"
"Import data validation is complete.","وارد کردن اعتبار سنجی داده ها کامل شد."
"The behavior token for %1 is invalid.","نشانگر رفتار برای %1 نامعتبر است."
"Please enter a correct entity model","لطفا یک مدل ورودی صحیح وارد کنید"
"Source file coping failed","کپی فایل منبع ناموفق بود"
"The source is not set.","منبع تنظيم نشده است."
"The adapter type must be a non-empty string.","نوع آداپتور باید یک رشته غیر خالی باشد."
"'%1' file extension is not supported","فرمت فایل ""%1"" پشتیبانی نمی شود"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","آداپتور باید نمونه ای از\Magento\ImportExport\Model\Import\AbstractSource باشد"
"Please specify a source.","لطفا یک منبع مشخص کنید."
"ImportExport: Import Data validation - Validation strategy not found","خروجی/ ورودی گرفتن: وارد کردن اعتبار اطلاعات - استراتژی اعتبار سنجی یافت نشد"
"Cannot get autoincrement value","نمی توان مقدار را به صورت خودکار افزایش داد"
"Error in data structure: %1 values are mixed","خطا در ساختار داده: %1 مقدار ترکیب شده است"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"label","برچسب"
"Add/Update","افزودن/ به روز رسانی"
"Replace","جایگزینی"
"Delete","حذف"
"Note: Product IDs will be regenerated.","Note: Product IDs will be regenerated."
"Add/Update Complex Data","افزودن/ به روز رسانی داده های پیچیده"
"Delete Entities","حذف ورودی ها"
"Custom Action","عمل شخصی سازی"
"Error message","پیغام خطا"
"URL key for specified store already exists.","URL کلیدی برای فروشگاه مشخص شده در حال حاضر وجود دارد."
"Entity Attributes","خواص نهاد"
"Continue","ادامه"
"Validation Results","نتایج اعتبارسنجی"
"ID","شناسه"
