"Export","Izvezi"
"Export Settings","Izvezi Podešavanja"
"Entity Type","Entity Tip"
"Export File Format","Izvezi Datoteka Format"
"Fields Enclosure","Fields Enclosure"
"From","Od"
"To","Do"
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options."
"Fixed Price: From","Fixed Cena: From"
"Exclude","Isključi"
"Attribute Label","Oznaka atributa"
"Attribute Code","Kod atributa"
"Filter","Filter"
"Unknown attribute filter type","Nepoznat attribute filter type"
"Download","Preuzimanje"
"Check Data","Check Data"
"Import","Uvesti"
"Import Settings","Uvezi Podešavanja"
"Import Behavior","Uvezi Behavior"
" "," "
"Stop on Error","Stop on Greška"
"Skip error entries","Skip error entries"
"Allowed Errors Count","Allowed Errors Count"
"Please specify number of errors to halt import process","Molimo navedite number of errors to halt import process"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"Fields enclosure","Fields enclosure"
"File to Import","Datoteka to Uvezi"
"Select File to Import","Izaberi Datoteka to Uvezi"
"Images File Directory","Images Datoteka Directory"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","Za tip ""Lokalni server"" koristite relativnu putanju do Magento instalacije,
                                npr. var/export, var/import, var/export/some/dir"
"Download Sample File","Preuzmi Sample Datoteka"
"Please correct the data sent value.","Molimo ispravite the data sent value."
"Import/Export","Uvezi/Izvezi"
"History","Istorija"
"Import History","Uvezi History"
"Import history","Uvezi history"
"There is no sample file for this entity.","There is no sample file for this entity."
"Status","Status"
"Maximum error count has been reached or system error is occurred!","Maximum error count je reached or system error is occurred!"
"Import successfully done","Uvezi uspešno done"
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is neispravan or the file is not uploaded."
"The file was not uploaded.","The file nije uploaded."
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, neispravan rows: %3, total errors: %4"
"This file is empty. Please try another one.","This file is empty. Please try another one."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Molimo ispravite greške i ponovo otpremite datoteku ili jednostavno pritisnite dugme ""Uvoz"" da preskočite redove sa greškama"
"File is valid! To start import process press ""Import"" button","Datoteka je ispravna! Za početak uvoza pritisnite dugme ""Uvoz"""
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason."
