"Export","Exportar"
"Export Settings","Exportar la configuración"
"Entity Type","Tipo de datos"
"Export File Format","Exportar el formato de archivo"
"Fields Enclosure","Recinto de los campos"
"From","Desde"
"To","Hasta"
"We can't filter an attribute with no attribute options.","No podemos filtrar un atributo sin opciones de atributo."
"Fixed Price: From","Precio fijo: de"
"-- Not Selected --","-- Not Selected --"
"Exclude","Excluir"
"Attribute Label","Etiqueta de atributo"
"Attribute Code","Código de atributo"
"Filter","Filtro"
"Unknown attribute filter type","Tipo de filtro de atributo desconocido"
"Download","Descarga"
"Check Data","Verificar los datos"
"Import","Importar"
"Import Settings","Importar configuración"
"Import Behavior","Importar comportamiento"
"Validation Strategy","Estrategia de validación"
"Stop on Error","Detener en el error"
"Skip error entries","Omitir entradas de error"
"Allowed Errors Count","Permitir el conteo de errores"
"Please specify number of errors to halt import process","Por favor especifique el número de errores para detener el proceso de importación"
"Field separator","Separador de campos"
"Multiple value separator","Separador de valor múltiple"
"Empty attribute value constant","Empty attribute value constant"
"Fields enclosure","Recinto de campos"
"File to Import","Archivo a importar"
"Select File to Import","Seleccione archivo para importar"
"File must be saved in UTF-8 encoding for proper import","File must be saved in UTF-8 encoding for proper import"
"Images File Directory","Directorio de archivos de imágenes"
". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'",". ', e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/' . . '/product_images</i> folder.<br><br>If remote storage is enabled, in case <i>product_images</i>, files should be placed into <i>&lt;Remote Storage&gt;/' . . '/product_images</i> folder.' 'i' 'br'"
"Download Sample File","Descargar archivo de ejemplo"
"What is this?","What is this?"
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file","Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file"
"Please correct the data sent value.","Por favor, corregir el valor de los datos enviados."
"Please provide valid export file name","Please provide valid export file name"
"File %1 deleted","File %1 deleted"
"Sorry, but the data is invalid or the file is not uploaded.","Lo sentimos, pero los datos no están válidos o no está cargado el archivo."
"There are no export file with such name %1","There are no export file with such name %1"
"%1 is not a valid file","%1 is not a valid file"
"Import/Export","Importar/Exportar"
"History","Historia"
"Import History","Historia de importación"
"Import history","Historia de importación"
"Incorrect entity name.","Incorrect entity name."
"There is no sample file for this entity.","No hay ningún archivo de muestra para esta entidad."
"Status","Estatus"
"Maximum error count has been reached or system error is occurred!","La cuenta de errores máxima se ha alcanzado o se produjo un error del sistema!"
"Only the first 100 errors are shown. ","Se muestran sólo los primeros 100 errores. "
"Download full report","Descargar informe completo"
"Import successfully done","Importación realizada correctamente"
"The file was not uploaded.","No se ha cargado el archivo."
"Data validation failed. Please fix the following errors and upload the file again.","Error de validación de datos. Por favor corrija los siguientes errores y subir el archivo otra vez."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Controlar filas: %1, entidades marcadas: %2, filas no válidas: %3, total errores: %4"
"This file is empty. Please try another one.","Este archivo está vacío. Por favor, pruebe otro."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Solucione los errores y vuelva a cargar el archivo, o pulse el botón ""Importar"" para omitir las filas con errores"
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar""."
"The file is valid, but we can't import it for some reason.","El archivo es válido, pero no podemos importarlo por alguna razón."
"Show more","Ver más"
"Additional data","Informacion adicional"
"Following Error(s) has been occurred during importing process:","Los siguientes errores han ocurrido durante el proceso de importación:"
"in row(s):","en filas:"
"Make sure your file isn't more than %1M.","Asegúrese que el archivo no sea de más de %1M."
"We can't provide the upload settings right now.","No podemos mostrar la configuración de carga de archivos."
"Created: %1, Updated: %2, Deleted: %3","Creado: %1, actualizado: %2, eliminado: %3"
"Please enter a correct entity model.","Introduce un modelo de entidad correcto."
"The entity adapter object must be an instance of %1 or %2.","El objeto de adaptador de entidad debe ser una instancia de %1 o %2."
"The input entity code is not equal to entity adapter code.","El código de la entidad de entrada no es igual al código adaptador de la entidad."
"Please enter a correct entity.","Introduce una entidad correcta."
"The adapter object must be an instance of %1.","El objeto adaptador debe ser una instancia de %1."
"Please correct the file format.","Por favor corregir el formato del archivo."
"Begin export of %1","Comenzar la exportación de %1"
"There is no data for the export.","No hay datos para exportar."
"Exported %1 rows.","Se han exportado %1 filas."
"The export is finished.","La exportación ha terminado."
"Please provide filter data.","Por favor proporcione datos de filtro."
"We can't determine the attribute filter type.","No se puede determinar el tipo de filtro de atributos."
"Entity is unknown","Entidad desconocida"
"We can't identify this file format.","No podemos identificar este formato de archivo."
"Please correct the value for ""%1"" column.","Por favor corrija el valor de columna ""%1""."
"Please specify the writer.","Por favor especifique el escritor."
"The destination file path must be a string.","La ruta del archivo de destino debe ser una cadena."
"The destination directory is not writable.","No se puede escribir en el directorio de destino."
"Destination file is not writable","No se puede escribir en el archivo de destino"
"The header column names are already set.","Nombres de los encabezados de las columnas ya estan establecidos."
"Your export file is ready","Your export file is ready"
"You can pick up your file at export main page","You can pick up your file at export main page"
"Error during export process occurred","Error during export process occurred"
"Error during export process occurred. Please check logs for detail","Error during export process occurred. Please check logs for detail"
"in row(s)","en filas"
"The validation is complete.","La validación esta completa."
"This file does not contain any data.","El archivo no contiene datos."
"Images file directory is outside required directory","Images file directory is outside required directory"
"Begin import of ""%1"" with ""%2"" behavior","Comenzar la importación de ""%1"" con el comportamiento ""%2"""
"The import was successful.","La importación fue un éxito."
"The file cannot be uploaded.","The file cannot be uploaded."
"The file you uploaded has no extension.","El archivo que subiste no tiene ninguna extensión."
"The source file moving process failed.","El proceso de traslado de archivo fuente falló."
"Begin data validation","Inicie la validación de los datos."
"Import data validation is complete.","Validación de datos de importación completada."
"The behavior token for %1 is invalid.","El token de comportamiento para %1 es inválido."
"Please enter a correct entity model","Introduce un modelo de entidad correcto"
"Source file coping failed","Falla al copiar la fuente de archivo"
"The source is not set.","La fuente no esta establecida."
"The adapter type must be a non-empty string.","El tipo de adaptador debe ser una cadena no vacía."
"'%1' file extension is not supported","no se admite la extensión de archivo '%1'"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adaptador debe ser una instancia de \Magento\ImportExport\Model\Import\AbstractSource"
"Please specify a source.","Por favor especifique una fuente."
"ImportExport: Import Data validation - Validation strategy not found","Canalizados: Validación de los datos de importación - estrategia de validación no se encuentra"
"There is no file: %file","There is no file: %file"
"Cannot get autoincrement value","No se puede obtener un incremento automático del valor"
"Error in data structure: %1 values are mixed","Error en la estructura de datos: valores %1 se mezclan"
"'Error in CSV: ' .","'Error in CSV: ' ."
"-- Please Select --","--Seleccione--"
"label","etiqueta"
"Add/Update","Añadir/actualizar"
"Replace","Reemplazar"
"Delete","Borrar"
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.","New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated."
