"Export","Извези"
"Export Settings","Извези Подешавања"
"Entity Type","Ентитy Тип"
"Export File Format","Извези Датотека Формат"
"Fields Enclosure","Fields Enclosure"
"From","Од"
"To","До"
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options."
"Fixed Price: From","Фиxед Цена: Фром"
"Exclude","Искључи"
"Attribute Label","Ознака атрибута"
"Attribute Code","Код атрибута"
"Filter","Filter"
"Unknown attribute filter type","Непознат аттрибуте филтер тyпе"
"Download","Преузимање"
"Check Data","Check Data"
"Import","Увести"
"Import Settings","Увези Подешавања"
"Import Behavior","Увези Бехавиор"
" "," "
"Stop on Error","Стоп он Грешка"
"Skip error entries","Skip error entries"
"Allowed Errors Count","Allowed Errors Count"
"Please specify number of errors to halt import process","Молимо наведите нумбер оф еррорс то халт импорт процесс"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"Fields enclosure","Fields enclosure"
"File to Import","Датотека то Увези"
"Select File to Import","Изабери Датотека то Увези"
"Images File Directory","Имагес Датотека Дирецторy"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","За тип ""Локални сервер"" користите релативну путању до Магенто инсталације,
                                нпр. вар/еxпорт, вар/импорт, вар/еxпорт/соме/дир"
"Download Sample File","Преузми Сампле Датотека"
"Please correct the data sent value.","Молимо исправите тхе дата сент валуе."
"Import/Export","Увези/Извези"
"History","Историја"
"Import History","Увези Хисторy"
"Import history","Увези хисторy"
"There is no sample file for this entity.","There is no sample file for this entity."
"Status","Статус"
"Maximum error count has been reached or system error is occurred!","Маxимум еррор цоунт је реацхед ор сyстем еррор ис оццурред!"
"Import successfully done","Увези успешно доне"
"Sorry, but the data is invalid or the file is not uploaded.","Соррy, бут тхе дата ис неисправан ор тхе филе ис нот уплоадед."
"The file was not uploaded.","Тхе филе није уплоадед."
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Цхецкед роwс: %1, цхецкед ентитиес: %2, неисправан роwс: %3, тотал еррорс: %4"
"This file is empty. Please try another one.","This file is empty. Please try another one."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Молимо исправите грешке и поново отпремите датотеку или једноставно притисните дугме ""Увоз"" да прескочите редове са грешкама"
