"Export","Ekspor"
"Export Settings","Pengaturan Ekspor"
"Entity Type","Jenis Entity"
"Export File Format","Ekspor Format File"
"Fields Enclosure","Bidang Kandang"
"From","Dari"
"To","Ke"
"We can't filter an attribute with no attribute options.","Kami tidak dapat memfilter atribut tanpa opsi atribut."
"Fixed Price: From","Harga Tetap: Dari"
"Exclude","Kecuali"
"Attribute Label","Lebel Atribut"
"Attribute Code","Kode Atribut"
"Filter","Menyaring"
"Unknown attribute filter type","Jenis filter atribut tak dikenal"
"Download","Download"
"Check Data","Periksa data"
"Import","Impor"
"Import Settings","Pengaturan Impor"
"Import Behavior","Tatacara Impor"
" "," "
"Stop on Error","Berhenti pada Kesalahan"
"Skip error entries","Lewati entri kesalahan"
"Allowed Errors Count","Penghitungan Kesalahan yang Diizinkan"
"Please specify number of errors to halt import process","Silakan tentukan jumlah kesalahan untuk menghentikan proses impor"
"Field separator","Pemisah Bidang"
"Multiple value separator","Beberapa Nilai Pemisah"
"Fields enclosure","Kandang kandang"
"File to Import","File untuk Impor"
"Select File to Import","Pilih File untuk Impor"
"Images File Directory","Berkas Direktori Foto"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir"
"Download Sample File","Download Contoh File"
"Please correct the data sent value.","Silakan perbaiki nilai pengiriman data."
"Import/Export","Ekspor Impor"
"History","Riwayat"
"Import History","Sejarah Impor"
"Import history","Sejarah impor"
"There is no sample file for this entity.","Tidak ada file contoh untuk entitas ini."
"Status","Subjek"
"Maximum error count has been reached or system error is occurred!","Jumlah kesalahan maksimum telah tercapai atau kesalahan sistem terjadi!"
"Import successfully done","Impor berhasil dilakukan"
"Sorry, but the data is invalid or the file is not uploaded.","Maaf, tapi datanya tidak valid atau file tidak diunggah."
"The file was not uploaded.","File tidak diunggah."
"Data validation failed. Please fix the following errors and upload the file again.","Validasi data gagal Silakan perbaiki kesalahan berikut dan unggah file lagi."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Baris yang diperiksa: %1, entitas yang diperiksa: %2, baris tidak valid: %3, kesalahan total: %4"
"This file is empty. Please try another one.","File ini kosong Silakan coba yang lain."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Perbaiki kesalahan dan unggah ulang file atau cukup tekan tombol ""Impor"" untuk melewati baris dengan kesalahan"
"File is valid! To start import process press ""Import"" button","File itu benar! Untuk memulai proses impor tekan tombol ""Import"""
"The file is valid, but we can't import it for some reason.","File itu valid, tapi kami tidak bisa mengimpornya karena beberapa alasan."
"Show more","Menampilkan lebih banyak"
"Additional data","Data tambahan"
