"Apply","应用"
"Please choose a valid discount amount.","没有关于实体类型“% 1”的相关信息"
"End Date must follow Start Date.","结束日期必须晚于开始日期。"
"Please specify a website.","请指定的网站。"
"Please specify Customer Groups.","请指定客户组。"
"to","至"
"by","通过"
"Please choose an action to add.","请选择要添加的操作。"
"Perform following actions","执行下列操作"
"is","是"
"is not","不是"
"equals or greater than","等于或小于"
"equals or less than","等于或小于"
"greater than","大于"
"less than","小于"
"contains","包含"
"does not contain","不包含"
"is one of","小于"
"is not one of","不是的"
"Please choose a condition to add.","请选择要添加的条件"
"Add","添加"
"Remove","删除"
"ALL","所有"
"ANY","任何"
"TRUE","真正"
"FALSE","假"
"If %1 of these conditions are %2:","如果这些条件 %1 %2:"
"Conditions Combination","条件组合"
"Attribute Set","属性集"
"Category","类别"
"Open Chooser","打开选择器"
"Unknown condition operator","未知的条件运算符"
"There is no information about associated entity type ""%1"".","有是没有关联的实体类型""%1""有关的信息。"
"This won't take long . . .","这不会需要很长时间。 。 。"
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
