"Apply","Приложи"
"Please choose a valid discount amount.","Изберете валидна стойност на отстъпката."
"End Date must follow Start Date.","Крайната дата трябва да е след начална дата."
"Please specify a website.","Задайте уеб сайт."
"Please specify Customer Groups.","Задайте групи клиенти."
"to","до"
"by","от"
"Please choose an action to add.","Моля изберете действие за добавяне."
"Perform following actions","Извърши следните действия"
"is","е"
"is not","не е"
"equals or greater than","е равно на или по-голяма от"
"equals or less than","е равно на или по-малко от"
"greater than","по-голяма от"
"less than","по-малко от"
"contains","съдържа"
"does not contain","не съдържа"
"is one of","е един от"
"is not one of","не е един от"
"Please choose a condition to add.","Моля изберете условие да добавите."
"Add","Добави"
"Remove","Премахване"
"ALL","ВСИЧКИ"
"ANY","ВСЕКИ"
"TRUE","ВЯРНО"
"FALSE","ФАЛШИВИ"
"If %1 of these conditions are %2:","Ако %1 от тези условия са %2:"
"Conditions Combination","Комбинация от условия"
"Attribute Set","Групи атрибути"
"Category","Категория"
"Open Chooser","Отворен избор"
"Unknown condition operator","Неизвестна грешка в Magento"
"There is no information about associated entity type ""%1"".","Няма информация за асоцииран обект тип ""%1""."
"This won't take long . . .","Това няма да отнеме много време . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","е неопределен"
