"Apply","Примени"
"Please choose a valid discount amount.","Унесите исправан износ попуста."
"End Date must follow Start Date.","Крај Датум муст фоллоw Почетак Датум."
"Please specify a website.","Наведите Wеб локацију."
"Please specify Customer Groups.","Изаберите групу купаца."
"to","до"
"by","од стране"
"Please choose an action to add.","Одаберите акцију коју ћете додати."
"Perform following actions","Изврши следеће акције"
"is","је"
"is not","није"
"equals or greater than","једнако или веће од"
"equals or less than","мање или једнако од"
"greater than","веће од"
"less than","мање од"
"contains","садржи"
"does not contain","не садржи"
"is one of","ако је један од"
"is not one of","ако није један од"
"Please choose a condition to add.","Молимо одаберите који ћете услов додати."
"Add","Додај"
"Remove","Уклони"
"ALL","Сви"
"ANY","Било који"
"TRUE","Тачно"
"FALSE","Нетачно"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Услови Комбинације"
"Attribute Set","Скуп атрибута"
"Category","Категорија"
"Open Chooser","Отвори Цхоосер"
"Unknown condition operator","Непознат оператор услова"
"There is no information about associated entity type ""%1"".","Нема информација о придруженом типу ентитета ""%1""."
"This won't take long . . .","This won't take long . . ."
"Please specify valid %1.","Молимо наведите валид %1."
"is undefined","is undefined"
