"Apply","Áp dụng"
"Please choose a valid discount amount.","Hãy chọn một số tiền giảm giá hợp lệ."
"End Date must follow Start Date.","Ngày kết thúc phải sau ngày bắt đầu."
"Please specify a website.","Hãy chỉ ra một trang web."
"Please specify Customer Groups.","Hãy chỉ ra các nhóm khách hàng."
"to","đến"
"by","bởi"
"Please choose an action to add.","Hãy chọn một hành động để thêm."
"Perform following actions","Thực hiện sau thao tác"
"is","là"
"is not","không phải là"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"greater than","lớn hơn"
"less than","nhỏ hơn"
"contains","bao gồm"
"does not contain","không bao gồm"
"is one of","là một trong"
"is not one of","không phải là một trong"
"Please choose a condition to add.","Vui lòng chọn một điều kiện để thêm."
"Add","Thêm"
"Remove","Loại bỏ"
"ALL","TẤT CẢ"
"ANY","BẤT KỲ"
"TRUE","đúng"
"FALSE","SAI"
"If %1 of these conditions are %2:","Nếu %1 của những điều kiện này là %2:"
"Conditions Combination","Kết hợp Điều kiện"
"Attribute Set","Thiết lập thuộc tính"
"Category","Nhóm"
"Open Chooser","Chọn mở"
"Unknown condition operator","Không rõ tình trạng Nhà điều hành"
"There is no information about associated entity type ""%1"".","Có là không có thông tin về loại hình liên kết thực thể ""%1""."
"This won't take long . . .","Hãy vui lòng đợi một chút . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
