"Quick Order","Hurtigordre"
"Page not found.","Siden finnes ikke."
"There is no items to delete","There is no items to delete"
"Cannot update item list.","Cannot update item list."
"Entered list is empty.","Entered list is empty."
"You entered item(s) with an empty SKU.","You entered item(s) with an empty SKU."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Den opplastede CSV-filen inneholder ikke en kolonne merket SKU. Kontroller at den første kolonnen er merket SKU og at hver linje i filen inneholder en SKU-verdi. Deretter laste opp filen igjen."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"You should correct the quantity for the product.","Du bør korrigere antallet for produktet."
"The SKU is out of stock.","SKU er utsolgt."
"We don't have the quantity you requested.","Vi har ikke så mange som du ønsker."
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Filen kan ikke lastes fordi den har feil format. Velg en CSV-fil laste opp."
"Add from File","Legg til fra fil"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Filen må være i CSV-format og inkluderer ""SKU"" og ""Antall"" kolonner"
"Choose File","Velg fil"
"Enter Multiple SKUs","Angi flere SKUer"
"Use commas or paragraph to separate SKUs.","Bruk komma eller avsnitt for å skille SKUer."
"Add to List","Legge til listen"
"Order by SKU","Sorter etter SKU"
"Enter SKU or Product Name","Angi SKU eller produktnavn"
"Qty","Antall"
"Add to Cart","Legg i handlekurv"
"Remove Row","Fjerne rad"
" product(s) require(s) your attention."," produkt(er) trenger din oppmerksomhet."
"Enable Quick Order","Aktivere Quick Bestill"
"Download Sample","Last ned prøve"
