"Quick Order","Pedido rápido"
"Page not found.","Página no encontrada."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","El archivo CSV no contiene una columna con SKU. Asegúrese de que la primera columna se denomina SKU y que cada línea del archivo contiene un valor SKU. Luego vuelva a subir el archivo."
"You should correct the quantity for the product.","Debe corregir la cantidad del producto."
"The SKU is out of stock.","El SKU está fuera de stock."
"We don't have the quantity you requested.","No tenemos la cantidad solicitada."
"An error occurred. For details, see the error log.","Ha ocurrido un error. Para ver los detalles consultar el log del error."
"Exception message","Mensaje de excepción"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","El archivo no se subió porque tiene el formato erróneo. Por favor, seleccione un archivo CSV para cargar."
"Add from File","Agregar desde archivo"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","El archivo debe estar en formato CSV e incluir columnas ""SKU"" y ""Cantidad"""
"Choose File","Elegir archivo"
"Enter Multiple SKUs","Introducir múltiples SKU"
"Use commas or paragraph to separate SKUs.","Usar comas o párrafo para separar SKU."
"Add to List","Añadir a la lista"
"Order by SKU","Comprar por SKU"
"Enter SKU or Product Name","Escriba nombre de producto o SKU"
"Qty","Cantidad"
"Add to Cart","Añadir al carrito"
"Remove Row","Remover fila"
" product(s) require(s) your attention."," producto(s) requiere(n) su atención."
"Enable Quick Order","Habilitar Pedido Rápida"
"Download Sample","Descargar muestra"
"Sorry, something went wrong. You can find out more in the error log.","Lo sentimos, algo salió mal. Encontrarás más información en el registro de errores."
