"Quick Order","Брза поруџбина"
"Page not found.","Страница није пронађена."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again."
"You should correct the quantity for the product.","You should correct the quantity for the product."
"The SKU is out of stock.","Шифра није на залихама."
"We don't have the quantity you requested.","We don't have the quantity you requested."
"An error occurred. For details, see the error log.","Дошло је до грешке. За детаље, проверите извештај грешака."
"Exception message","Порука о изузећу"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Тхе филе није могао бе уплоадед бецаусе ит ис ин тхе wронг формат. Молимо изаберите а ЦСВ филе то уплоад."
"Add from File","Додај фром Датотека"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Датотека мора бити у .цсв формату и укључивати колоне ""СКУ"" и ""QТY"""
"Choose File","Изабери Датотека"
"Enter Multiple SKUs","Унесите више шифри"
"Use commas or paragraph to separate SKUs.","Use commas or paragraph to separate SKUs."
"Add to List","Додај то Листа"
"Order by SKU","Наруџба по шифри"
"Enter SKU or Product Name","Унесите шифру или назив производа"
"Qty","Кол"
"Add to Cart","Додај у корпу"
"Remove Row","Уклани ред"
" product(s) require(s) your attention.","продуцт(с) реqуире(с) yоур аттентион."
"Enable Quick Order","Омогући брзу поруџбину"
"Download Sample","Преузми Сампле"
"Sorry, something went wrong. You can find out more in the error log.","Извини, нешто кренуло наопако. Више о грешци можете пронаћи у евиденцији грешака."
