"Quick Order","クイックオーダー"
"Page not found.","ページが見つかりません。"
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","アップロードされたCSVファイルには、SKUというラベルの列は含まれていません。 最初の列にはSKUというラベルが付けられ、ファイルの各行にはSKUの値が含まれていることを確認してください。 確認後、ファイルを再度アップロードして下さい。"
"You should correct the quantity for the product.","商品の数量を修正してください。"
"The SKU is out of stock.","SKUは在庫切れです。"
"We don't have the quantity you requested.","要求した数量がありません。"
"An error occurred. For details, see the error log.","エラーが発生しました。詳細はログをご覧ください。"
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","ファイル形式が不正であるため、ファイルをアップロードできませんでした。 アップロードするCSVファイルを選択してください。"
"Add from File","ファイルから追加"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","ファイルは.csv形式で、""SKU""と""QTY"" 列を含める必要があります"
"Choose File","ファイルを選択"
"Enter Multiple SKUs","複数のSKUを入力する"
"Use commas or paragraph to separate SKUs.","SKUを区切るには、カンマや段落を使用して下さい。"
"Add to List","リストに追加"
"Order by SKU","商品番号順"
"Enter SKU or Product Name","SKUもしくは商品名を入力"
"Qty","個数"
"Add to Cart","カートに入れる"
"Remove Row","行を削除"
" product(s) require(s) your attention."," 商品に注意が必要です。"
"Enable Quick Order","クイックオーダーを有効にする"
"Download Sample","サンプルをダウンロード"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
