"Quick Order","Szybkie zamówienie"
"Page not found.","Nie znaleziono strony."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Przesłany plik CSV nie zawiera kolumny oznaczonej jako SKU. Upewnij się, że pierwsza kolumna jest oznaczona jako SKU i że każdy wiersz w pliku zawiera wartość SKU. Następnie prześlij plik ponownie."
"You should correct the quantity for the product.","Należy poprawić ilość produktu."
"The SKU is out of stock.","Jednostka SKU jest niedostępna."
"We don't have the quantity you requested.","Nie mamy żądanej ilości."
"An error occurred. For details, see the error log.","Wystąpił błąd. Szczegółowe informacje można znaleźć w dzienniku błędów."
"Exception message","Komunikat o wyjątku"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Nie można przesłać pliku, ponieważ ma on niewłaściwy format. Wybierz plik CSV do przesłania."
"Add from File","Dodaj z pliku"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Plik musi być w formacie .csv i zawierać kolumny ""SKU"" i ""QTY""."
"Choose File","Wybierz plik"
"Enter Multiple SKUs","Wprowadź wiele jednostek SKU"
"Use commas or paragraph to separate SKUs.","Używaj przecinków lub akapitów do oddzielania jednostek SKU."
"Add to List","Dodaj do listy"
"Order by SKU","Sortuj po SKU"
"Enter SKU or Product Name","Wprowadź SKU lub nazwę produktu"
"Qty","Ilość"
"Add to Cart","Dodaj do koszyka"
"Remove Row","Usuń wiersz"
" product(s) require(s) your attention."," produkty wymagają Twojej uwagi."
"Enable Quick Order","Włącz szybkie zamawianie"
"Download Sample","Pobierz próbkę"
"Sorry, something went wrong. You can find out more in the error log.","Przepraszamy, coś poszło nie tak. Więcej informacji można znaleźć w dzienniku błędów."
