"Save Review","Sačuvaj Recenzija"
"New Review","Novo Recenzija"
"Review Details","Recenzija Detalji"
"Product","Proizvod"
"Product Rating","Proizvod Ocena"
"Status","Status"
"Visibility","Vidljivost"
"Nickname","Nickname"
"Summary of Review","Sažetak of Recenzija"
"Review","Recenzija"
"Previous","Prethodni"
"Save and Previous","Sačuvaj and Prethodni"
"Save and Next","Sačuvaj and Sledeći"
"Next","Sledeće"
"Delete Review","Obriši Recenzija"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Edit Review '%1'","Izmeni Recenzija '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Gost"
"Author","Author"
"Summary Rating","Sažetak Ocena"
"Detailed Rating","Detailed Ocena"
"ID","ID"
"Created","Kreiran"
"Title","Naslov"
"Type","Tip"
"SKU","Šifra"
"Action","Akcija"
"Edit","Izmeni"
"Delete","Obrisati"
"Are you sure?","Da li ste sigurni?"
"Update Status","Ažuriraj Status"
"Customer","Kupac"
"Pending Reviews of Customer `%1`","Na čekanju Recenzije of Kupac `%1`"
"Pending Reviews","Na čekanju Recenzije"
"All Reviews of Customer `%1`","Sve Recenzije of Kupac `%1`"
"All Reviews of Product `%1`","Sve Recenzije of Proizvod `%1`"
"All Reviews","Sve Recenzije"
"Name","Ime"
"Product Store Name","Proizvod Prodavnica Naziv"
"Price","Cena"
"Quantity","Količina"
"Websites","Web stranice"
"Manage Ratings","Manage Ocene"
"Add New Rating","Dodaj Novo Ocena"
"Save Rating","Sačuvaj Ocena"
"Delete Rating","Obriši Ocena"
"Edit Rating #%1","Izmeni Ocena #%1"
"New Rating","Novo Ocena"
"Rating Title","Ocena Naslov"
"Default Value","Podrazumevane vrednosti"
"Rating Visibility","Ocena Visibility"
"Is Active","Is Aktivan"
"Sort Order","Redosled porudžbina"
"Rating Information","Ocena Informacije"
"Product Reviews","Proizvod Recenzije"
"Pending product review(s)","Na čekanju product review(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Proizvod: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Sažetak of review: %1 <br/>"
"Review: %1 <br/>","Recenzija: %1 <br/>"
"Store: %1 <br/>","Prodavnica: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Kliknite <a href=""%1"">ovde</a> da vidite recenziju."
"Product: ""%1"" reviewed by: %2","Proizvod: ""%1"" je recenzirao: %2"
"Pending Reviews RSS","Na čekanju Recenzije RSS"
"Reviews %1","Recenzije %1"
"Reviews","Recenzije"
"The review has been deleted.","The review je deleted."
"Something went wrong  deleting this review.","Nešto nije u redu  deleting this review."
"Customer Reviews","Kupac Recenzije"
"Edit Review","Izmeni Recenzija"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Molimo izaberite review(s)."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"Something went wrong while deleting these records.","Nešto nije u redu while deleting these records."
"A total of %1 record(s) have been updated.","Ukupno %1 zapis(a) je promenjeno."
"Something went wrong while updating these review(s).","Nešto nije u redu while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Nešto nije u redu while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or ne postoji."
"You deleted the rating.","You deleted the rating."
"Ratings","Ocene"
"You saved the rating.","You saved the rating."
"My Product Reviews","My Proizvod Recenzije"
"Cannot initialize product","Ne može initialize product"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key nije set"
"Approved","Odobren"
"Pending","Na čekanju"
"Not Approved","Not Odobren"
"Please enter a review summary.","Molimo unesite a review summary."
"Please enter a nickname.","Molimo unesite a nickname."
"Please enter a review.","Molimo unesite a review."
"Rating isn't Available","Ocena isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Molimo navedite a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Opcija Naslov:"
"Product Name","Naziv proizvoda"
"Rating","Ocena"
"Actions","Radnje"
"See Details","Pogledaj detalje"
"You have submitted no reviews.","You have submitted no reviews."
"Back","Nazad"
"My Recent Reviews","My Recent Recenzije"
"View All","Prikaži svе"
"Average Customer Rating:","Average Kupac Ocena:"
"Your Review","Your Recenzija"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Nazad to My Recenzije"
"Ratings Review Summary","Ocene Recenzija Sažetak"
"Be the first to review this product","Ocenite ovaj proizvod"
"Write Your Own Review","Write Your Own Recenzija"
"* Required Fields","* Obavezna polja"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Ocena"
"%1 %2","%1 %2"
"Summary","Rezime"
"Submit Review","Pošalji Recenzija"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Samo registrovani korisnici mogu pisati recenzije. Molimo <a href=""%1"">prijavite se</a> ili <a href=""%2"">napravite nalog</a>"
"Add Your Review","Dodaj Your Recenzija"
"%1 Review(s)","%1 Recenzija(s)"
"Review by","Pregled od strane"
"Posted on","Posted on"
"Back to Main Product Info","Nazad to Main Proizvod Informacija"
"Average Customer Rating","Average Kupac Ocena"
"Product Rating:","Proizvod Ocena:"
"Product Review (submitted on %1):","Proizvod Recenzija (submitted on %1):"
"Back to Product Reviews","Nazad to Proizvod Recenzije"
"Please select one of each of the ratings above.","Molimo izaberite one of each of the ratings above."
"By Customers","By Kupci"
"By Products","By Proizvodi"
"Allow Guests to Write Reviews","Dozvoli Guests to Write Recenzije"
"Active","Aktivan"
"Inactive","Neaktivan"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Samo registrovani korisnici mogu pisati recenzije. Molimo, <a href=""%1"">prijavite se</a> ili <a href=""%2"">napravite nalog</a>"
"Enabled","Omogućeno"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Dodaj the storage key and pokušajte ponovo."
