"Save Review","Запиши отзив"
"New Review","Нов преглед"
"Review Details","Прегледайте подробните данни"
"Product","Продукт"
"Product Rating","Оценка на продукт"
"Status","Статус"
"Visibility","Видимост"
"Nickname","Псевдоним"
"Summary of Review","Резюме на отзив"
"Review","Преглед"
"Previous","Назад"
"Save and Previous","Запази и продължи"
"Save and Next","Запиши и следващ"
"Next","Напред"
"Delete Review","Изтриване на отзив"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Edit Review '%1'","Редактирай отзив '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","Администратор"
"Guest","Гост"
"Author","Автор"
"Summary Rating","Резюме рейтинг"
"Detailed Rating","Подробна оценка"
"ID","ИД"
"Created","Създаден:"
"Title","Заглавиe"
"Type","Тип"
"SKU","Кат. номер"
"Action","Действие"
"Edit","Редактирай"
"Delete","Изтрий"
"Are you sure?","Сигурни ли сте?"
"Update Status","Актуализация на състоянието"
"Customer","Клиент"
"Pending Reviews of Customer `%1`","Чакащ отзив от клиент ""%1"""
"Pending Reviews","Чакащи отзиви"
"All Reviews of Customer `%1`","Всички отзиви на клиент ""%1"""
"All Reviews of Product `%1`","Всички отзиви на продукт ""%1"""
"All Reviews","Всички отзиви"
"Name","Име"
"Product Store Name","Име на магазина"
"Price","Цена"
"Quantity","Количество: "
"Websites","Уеб сайтове"
"Manage Ratings","Управление на рейтинги"
"Add New Rating","Добави нова оценка"
"Save Rating","Запиши рейтинг"
"Delete Rating","Изтриване на рейтинг"
"Edit Rating #%1","Редактиране на рейтинг #%1"
"New Rating","Нов рейтинг"
"Rating Title","Рейтинг заглавие"
"Default Value","Стойност по подразбиране"
"Rating Visibility","Рейтинг видимост"
"Is Active","Е активен"
"Sort Order","Ред на сортиране"
"Rating Information","Информация за оценката"
"Product Reviews","Отзиви за продукти"
"Pending product review(s)","Чакащ отзиви за продукт/и"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Продукт: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Резюме на отзив: %1 <br/>"
"Review: %1 <br/>","Преглед: %1 <br/>"
"Store: %1 <br/>","Магазин: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Щракнете <a href=""%1""> тук</a> за да видите отзива."
"Product: ""%1"" reviewed by: %2","Продукт: ""%1"" прегледан от: %2"
"Pending Reviews RSS","Чакащи отзиви RSS"
"Reviews %1","Отзиви  %1"
"Reviews","Прегледи"
"The review has been deleted.","Отзивът е изтрит."
"Something went wrong  deleting this review.","Нещо се обърка при изтриването на този преглед."
"Customer Reviews","Клиентски отзиви"
"Edit Review","Редактиране на отзив"
"We can't retrieve the product ID.","Не може да извлече продуктовия идентификатор."
"Please select review(s).","Моля, изберете отзив."
"A total of %1 record(s) have been deleted.","Общо %1 записи са били изтрити."
"Something went wrong while deleting these records.","Нещо се обърка при изтриване на тези записи."
"A total of %1 record(s) have been updated.","Общо %1 записи са били актуализирани."
"Something went wrong while updating these review(s).","Нещо се обърка, докато актуализирахте тези отзиви"
"You saved the review.","Записахте отзива"
"Something went wrong while saving this review.","Нещо се обърка при записване на този отзив"
"The review was removed by another user or does not exist.","Отзивът е премахнат от друг потребител или не съществува."
"You deleted the rating.","Изтрихте рейтинга"
"Ratings","Рейтинги"
"You saved the rating.","Записахте рейтинга."
"My Product Reviews","Моите отзиви за продукти"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Вашият отзив беше изпратен, след като бъде прегледан ще бъде публикуван."
"We can't post your review right now.","Не може да публикувате вашия пост точно сега."
"Storage key was not set","Storage key was not set"
"Approved","Одобрен"
"Pending","Чакащ"
"Not Approved","Не е одобрен"
"Please enter a review summary.","Моля въведете резюме на отзив"
"Please enter a nickname.","Моля, въведете псевдоним."
"Please enter a review.","Моля въведете отзив."
"Rating isn't Available","Рейтинг не е наличен"
"Please specify a rating title for a store, or we'll just use the default value.","Моля, посочете рейтинг заглавие за магазин, или просто ще използваме стойността по подразбиране."
"Assigned Options","Присвоените опции"
"Option Title:","Опция за заглавие:"
"Product Name","Име на продукт"
"Rating","рейтинг"
"Actions","Действия"
"See Details","Виж детайли"
"You have submitted no reviews.","Нямате подадени отзиви."
"Back","Обратно"
"My Recent Reviews","Моите последни отзиви"
"View All","Виж всички"
"Average Customer Rating:","Средна стойност на клиентски рейтинг:"
"Your Review","Вашия отзив"
"Submitted on %1","Представено на %1"
"Back to My Reviews","Обратно към моите отзиви"
"Ratings Review Summary","Преглед на обобщение за рейтинги"
"Be the first to review this product","Бъдете първият  оценил този продукт"
"Write Your Own Review","Напишете вашето мнение"
"* Required Fields","* Задължителни полета"
"You're reviewing:","Вие оценявате:"
"Your Rating","Вашият рейтинг"
"%1 %2","%1 %2"
"Summary","Обобщение"
"Submit Review","Редактиране на отзив"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистрирани потребители могат да оставят мнения. Моля <a href=""%1"">влезте в профила си</a> или си направете <a href=""%2"">регистрация</a>"
"Add Your Review","Напишете отзив"
"%1 Review(s)","%1 Отзив(и)"
"Review by","Оценен от "
"Posted on","Публикувано на"
"Back to Main Product Info","Обратно към информацията за основния продукт"
"Average Customer Rating","Средностойностен клиентски рейтинг"
"Product Rating:","Продукт рейтинг: "
"Product Review (submitted on %1):","Отзиви за продукта (представено на %1):"
"Back to Product Reviews","Обратно към отзиви за продукта"
"Please select one of each of the ratings above.","Моля изберете една от оценките по-горе."
"By Customers","По клиенти"
"By Products","По продукти"
"Allow Guests to Write Reviews","Позволи на гостите да пишат коментари"
"Active","Активно"
"Inactive","Неактивен"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Активиран"
"The storage key wasn't set. Add the storage key and try again.","Ключът за съхранение не е зададен. Добавете ключа за съхранение и опитайте отново."
