"Save Review","Зачувај мислење"
"New Review","Ново мислење"
"Review Details","Детали за мислење"
"Product","Продукт"
"Product Rating","Product Rating"
"Status","Статус"
"Visibility","Видливост"
"Nickname","Прекар"
"Summary of Review","Преглед од мислење"
"Review","Мислење"
"Previous","Претходно"
"Save and Previous","Зачувај и претходно"
"Save and Next","Зачувај и следно"
"Next","Следно"
"Delete Review","Избриши мислење"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Edit Review '%1'","Измени мислење '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Гостин"
"Author","Author"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"ID","ID"
"Created","Креирано"
"Title","Наслов"
"Type","Type"
"SKU","SKU"
"Action","Акција"
"Edit","Измени"
"Delete","Избриши"
"Are you sure?","Дали сте сигурни?"
"Update Status","Ажурирај статус"
"Customer","Купувач"
"Pending Reviews of Customer `%1`","Мислења од купувач на чекање `%1`"
"Pending Reviews","Мислења на чекање"
"All Reviews of Customer `%1`","Сите мислења од купувач `%1`"
"All Reviews of Product `%1`","Сите мислења од продукт `%1`"
"All Reviews","Сите мислења"
"Name","Име"
"Product Store Name","Product Store Name"
"Price","Цена"
"Quantity","Количина"
"Websites","Websites"
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Зачувај оценка"
"Delete Rating","Избриши оценка"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Нова оценка"
"Rating Title","Rating Title"
"Default Value","Default Value"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","Sort Order"
"Rating Information","Rating Information"
"Product Reviews","Мислења за продукти"
"Pending product review(s)","Мислење/а за продукт на чекање"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Мислење: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Кликни <a href=""%1"">овде</a> за да го видиш мислењето."
"Product: ""%1"" reviewed by: %2","Продукт: ""%1"" мислење од: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","Мислења %1"
"Reviews","Мислења"
"The review has been deleted.","Мислењето е избришено."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Мислења од купувачи"
"Edit Review","Измени мислење"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Ве молиме одберете мислење/а."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","Го зачувавте мислењето."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
"Ratings","Оценки"
"You saved the rating.","You saved the rating."
"My Product Reviews","Мои мислења за продукти"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","Во моментот неможеме да го објавиме вашето мислење."
"Storage key was not set","Storage key was not set"
"Approved","Approved"
"Pending","Pending"
"Not Approved","Not Approved"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Ве молиме внесете прекар."
"Please enter a review.","Ве молиме внесете мислење."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","Име на продуктот"
"Rating","Оценка"
"Actions","Акции"
"See Details","Види детали"
"You have submitted no reviews.","Немате дадено мислења за продукти."
"Back","Назад"
"My Recent Reviews","Мои последни мислења"
"View All","Види ги сите"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","Вашето мислење"
"Submitted on %1","Поднесено на %1"
"Back to My Reviews","Назад кон моите мислења"
"Ratings Review Summary","Преглед на оценки од мислења"
"Be the first to review this product","Бидете први што ќе дадете мислење за овој продукт"
"Write Your Own Review","Дадете ваше мислење"
"* Required Fields","* Задолжителни полиња"
"You're reviewing:","Давате мислење за:"
"Your Rating","Вашате оценка"
"%1 %2","%1 %2"
"Summary","Преглед"
"Submit Review","Дади мислење"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистрирани купувачи можат да дадат мислење. Ве молиме <a href=""%1"">најавете се</a> или <a href=""%2"">регистрирајте профил</a>"
"Add Your Review","Додадете го вашето мислење"
"%1 Review(s)","%1 мислење/а"
"Review by","Мислење од"
"Posted on","Објавено на"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Average Customer Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %1):","Мислење за продукт (дадено на %1):"
"Back to Product Reviews","Назад кон мислења за продукти"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Дозволи гости да дадат мислења"
"Active","Активен"
"Inactive","Неактивен"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
