"Save Review","Zapisz recenzję"
"New Review","Nowa opinia"
"Review Details","Szczegóły recenzji"
"Product","Produkt"
"Product Rating","Ocena produktu"
"Status","Stan"
"Visibility","Widoczność"
"Nickname","Autor"
"Summary of Review","Podsumowanie recenzji"
"Review","Opinia"
"Previous","Poprzednie"
"Save and Previous","Zapisz i do poprzedniego"
"Save and Next","Zapisz i do następnego"
"Next","Następne"
"Delete Review","Usuń recenzję"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Edit Review '%1'","Edytuj opinię '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Gość"
"Author","Autor"
"Summary Rating","Podsumowanie oceny"
"Detailed Rating","Szczegółowa ocena"
"ID","Identyfikator"
"Created","Utworzono"
"Title","Tytuł"
"Type","Rodzaj"
"SKU","SKU"
"Action","Operacja"
"Edit","Edytuj"
"Delete","Usuń"
"Are you sure?","Czy na pewno tego chcesz?"
"Update Status","Aktualizuj status"
"Customer","Klient"
"Pending Reviews of Customer `%1`","Oczekujące opinie Klienta `%1`"
"Pending Reviews","Niezatwierdzone opinie"
"All Reviews of Customer `%1`","Wszystkie opinie Klienta `%1`"
"All Reviews of Product `%1`","Wszystkie opinie produktu `%1`"
"All Reviews","Lista opinii"
"Name","Nazwa"
"Product Store Name","Nazwa produktu sklepu"
"Price","Cena"
"Quantity","Ilość"
"Websites","Witryny"
"Manage Ratings","Zarządzaj ocenami"
"Add New Rating","Dodaj nową ocenę"
"Save Rating","Zapisz ocenę"
"Delete Rating","Usuń ocenę"
"Edit Rating #%1","Edytuj ocenę #%1"
"New Rating","Nowa ocena"
"Rating Title","Tytuł oceny"
"Default Value","Domyślna wartość"
"Rating Visibility","Widoczność oceny"
"Is Active","Jest aktywna"
"Sort Order","Kolejność sortowania"
"Rating Information","Informacje o ocenie"
"Product Reviews","Opinie"
"Pending product review(s)","Niezatwierdzone opinie"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produkt: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Podsumowanie opinii: %1 <br/>"
"Review: %1 <br/>","Opinia: %1 <br/>"
"Store: %1 <br/>","Sklep: %1 <br/>"
