"Save Review","Salvar Avaliação"
"New Review","Nova Avaliação"
"Review Details","Detalhes da Avaliação"
"Product","Produto"
"Product Rating","Avaliação do Produto"
"Status","Situação"
"Visibility","Visibilidade"
"Nickname","Apelido"
"Summary of Review","Resumo de Avaliação"
"Review","Avaliação"
"Previous","Anterior"
"Save and Previous","Salvar e Voltar"
"Save and Next","Salvar e avançar"
"Next","Próximo"
"Delete Review","Apagar Avaliação"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Edit Review '%1'","Editar Avaliação '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","Administrador"
"Guest","Visitante"
"Author","Autor"
"Summary Rating","Classificação Resumida"
"Detailed Rating","Classificação Detalhada"
"ID","Id."
"Created","Criado"
"Title","Título"
"Type","Tipo"
"SKU","Código de Produto:"
"Action","Ação"
"Edit","Editar"
"Delete","Excluir"
"Are you sure?","Você tem certeza?"
"Update Status","Status de atualização"
"Customer","Cliente"
"Pending Reviews of Customer `%1`","Avaliações de Clientes Pendentes '%1'"
"Pending Reviews","Comentários pendentes"
"All Reviews of Customer `%1`","Todas Avaliações de Clientes '%1'"
"All Reviews of Product `%1`","Todas Avaliações de Produto '%1'"
"All Reviews","Todas Avaliações"
"Name","Nome"
"Product Store Name","Nome do Produto da Loja"
"Price","Preço"
"Quantity","Quantidade"
"Websites","Sites"
"Manage Ratings","Gerenciar Classificações"
"Add New Rating","Adicionar Nova Classificação"
"Save Rating","Salvar avaliação"
"Delete Rating","Apagar avaliação"
"Edit Rating #%1","Editar Classificação #%1"
"New Rating","Nova avaliação"
"Rating Title","Título de Classificação"
"Default Value","Valor Padrão"
"Rating Visibility","Visibilidade de Classificação"
"Is Active","Está Ativo"
"Sort Order","Ordenação"
"Rating Information","Informação de Classificação"
"Product Reviews","Avaliações do Produto"
"Pending product review(s)","Avaliações pendentes do produto"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produto: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Resumo da Avaliação: %1 <br />"
"Review: %1 <br/>","Avaliação: %1 <br/>"
"Store: %1 <br/>","Loja: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Clique <a href=""%1""> aqui</a> para ver a avaliação."
"Product: ""%1"" reviewed by: %2","Produto: ""%1"" avaliado por: %2"
"Pending Reviews RSS","Avaliações RSS Pendentes"
"Reviews %1","Avaliações %1"
"Reviews","Avaliações"
"The review has been deleted.","A avaliação foi excluída."
"Something went wrong  deleting this review.","Algo deu errado ao apagar esta avaliação."
"Customer Reviews","Avaliações de Clientes"
"Edit Review","Editar Avaliação"
"We can't retrieve the product ID.","Não podemos recuperar o ID do produto."
"Please select review(s).","Por favor, selecione uma ou mais avaliações."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Something went wrong while deleting these records.","Algo deu errado ao excluir esses registros."
"A total of %1 record(s) have been updated.","Um total de %1 registro(s) foram atualizados."
"Something went wrong while updating these review(s).","Algo deu errado durante a atualização destas avaliações."
"You saved the review.","Você salvou a avaliação."
"Something went wrong while saving this review.","Algo deu errado ao salvar esta avaliação."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro usuário ou não existe."
"You deleted the rating.","Você excluiu a classificação."
"Ratings","Avaliações"
"You saved the rating.","Você salvou a avaliação."
"My Product Reviews","Minhas Avaliações de Produto"
"Cannot initialize product","Não é possível inicializar o produto"
"You submitted your review for moderation.","Você enviou sua avaliação para análise."
"We can't post your review right now.","Não podemos postar sua avaliação agora."
"Storage key was not set","Chave de armazenamento não foi definida"
"Approved","Aprovado"
"Pending","Pendente"
"Not Approved","Não Aprovado"
"Please enter a review summary.","Por favor, preencha um resumo da avaliação."
"Please enter a nickname.","Por favor digite um apelido."
"Please enter a review.","Por favor insira uma avaliação."
"Rating isn't Available","Classificação não Disponível"
"Please specify a rating title for a store, or we'll just use the default value.","Por favor, especifique um titulo de classificação para uma loja, ou usaremos o valor padrão."
"Assigned Options","Opções Atribuidas"
"Option Title:","Título da Opção:"
"Product Name","Nome do produto"
"Rating","Classificação"
"Actions","Ações"
"See Details","Visualizar Detalhes"
"You have submitted no reviews.","Você não enviou avaliações."
"Back","Voltar"
"My Recent Reviews","Minhas Avaliações Recentes"
"View All","Ver tudo"
"Average Customer Rating:","Avaliação Média do Cliente:"
"Your Review","Sua Avaliação"
"Submitted on %1","Enviado em %1"
"Back to My Reviews","Voltar para Minhas Avaliações"
"Ratings Review Summary","Resumo de Avaliações"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Write Your Own Review","Escreva sua Própria Avaliação"
"* Required Fields","* Campos Obrigatórios"
"You're reviewing:","Você está avaliando:"
"Your Rating","Sua Classificação"
"%1 %2","%1 %2"
"Summary","Resumo"
"Submit Review","Enviar Avaliação"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Somente usuários cadastrados podem escrever avaliações. Por favor, <a href=""%1""> faça seu login</a> ou <a href=""%2"">cadastre-se</a>"
"Add Your Review","Adicionar sua Avaliação"
"%1 Review(s)","%1 Avaliações"
"Review by","Avaliado por"
"Posted on","Enviado por"
"Back to Main Product Info","Voltar para Informações Principais do Produto"
"Average Customer Rating","Classificação Média de Clientes"
"Product Rating:","Classificação do Produto:"
"Product Review (submitted on %1):","Avaliação do Produto (Enviada em %1):"
"Back to Product Reviews","Voltar para Avaliações do Produto"
"Please select one of each of the ratings above.","Por favor, selecione uma de cada das classificações acima."
"By Customers","Por Clientes"
"By Products","Por Produtos"
"Allow Guests to Write Reviews","Permitir Avaliações por Visitantes"
"Active","Ativo"
