"Save Review","Simpan Ulasan"
"New Review","Ulasan Baru"
"Review Details","Rincian ulasan"
"Product","Produk"
"Product Rating","Produk penilaian"
"Status","Subjek"
"Visibility","Visibilitas"
"Nickname","Nama panggilan"
"Summary of Review","Ringkasan Ulasan"
"Review","Ulasan"
"Previous","Sebelumnya"
"Save and Previous","Simpan dan Sebelumnya"
"Save and Next","Simpan dan Selanjutnya"
"Next","Berikutnya"
"Delete Review","Hapus ulasan"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Edit Review '%1'","Edit Ulasan '% 1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Pengelola"
"Guest","Tamu"
"Author","Penulis"
"Summary Rating","Ringkasan Rating"
"Detailed Rating","Peringkat Terperinci"
"ID","Id"
"Created","Dibuat"
"Title","Judul"
"Type","Jenis"
"SKU","SKU"
"Action","Tindakan"
"Edit","Ubah"
"Delete","Hapus"
"Are you sure?","Apakah kamu yakin?"
"Update Status","Perbarui Status"
"Customer","Pelanggan"
"Pending Reviews of Customer `%1`","Menunggu Ulasan Pelanggan `% 1`"
"Pending Reviews","Ulasan tertunda"
"All Reviews of Customer `%1`","Semua Ulasan Pelanggan `% 1`"
"All Reviews of Product `%1`","Semua Ulasan Produk `% 1`"
"All Reviews","Semua Ulasan"
"Name","Nama"
"Product Store Name","Nama toko produk"
"Price","Harga"
"Quantity","Kuantitas"
"Websites","Situs web"
"Manage Ratings","Kelola Rating"
"Add New Rating","Tambahkan Peringkat Baru"
"Save Rating","Simpan Rating"
"Delete Rating","Hapus Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Rating Baru"
"Rating Title","Judul Rating"
"Default Value","Nilai Standar"
"Rating Visibility","Rating Visibilitas"
"Is Active","Aktif"
"Sort Order","Pengurutan"
"Rating Information","Informasi"
"Product Reviews","Ulasan produk"
