"Save Review","שמור חוות דעת"
"New Review","חוות דעת חדשה"
"Review Details","פרטי חוות דעת מוצר"
"Product","מוצר"
"Product Rating","דירוג מוצר"
"Status","סטטוס"
"Visibility","נראות"
"Nickname","כינוי"
"Summary of Review","תקציר חוות הדעת"
"Review","חוות דעת"
"Previous","הקודם"
"Save and Previous","שמור והקודם"
"Save and Next","שמור ועבור אל הבא"
"Next","הבא"
"Delete Review","מחק חוות דעת"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Edit Review '%1'","עריכת ביקורת '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","מנהל"
"Guest","אורח"
"Author","כותב"
"Summary Rating","תקציר דירוג"
"Detailed Rating","פירטי דירוגים"
"ID","מזהה"
"Created","נוצר"
"Title","כותרת"
"Type","סוג"
"SKU","מק''ט"
"Action","פעולה"
"Edit","ערוך"
"Delete","מחק"
"Are you sure?","האם אתה בטוח?"
"Update Status","תאריך עדכון"
"Customer","לקוח"
"Pending Reviews of Customer `%1`","'%1' חוות דעת ממתינות לאישור"
"Pending Reviews","חוות דעת בהמתנה"
"All Reviews of Customer `%1`","כל חוות הדעת של הלקוח '%1'"
"All Reviews of Product `%1`","כל חוות הדעת של המוצר '%1'"
"All Reviews","כל חוות הדעת"
"Name","שם"
"Product Store Name","Product Store Name"
"Price","מחיר"
"Quantity","כמות"
"Websites","אתרים"
"Manage Ratings","נהל דירוגים"
"Add New Rating","הוסף דירוג חדש"
"Save Rating","שמור דירוג"
"Delete Rating","מחק דירוג"
"Edit Rating #%1","עריכת דירוג #%1"
"New Rating","דירוג חדש"
"Rating Title","כותרת דירוג"
"Default Value","ערך ברירת מחדל"
"Rating Visibility","נראות דירוג"
"Is Active","פעיל"
"Sort Order","סדר מיון"
"Rating Information","Rating Information"
"Product Reviews","חוות דעת מוצרים"
"Pending product review(s)","חוות דעת בהמתנה של מוצר"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","המוצר: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","תקציר חוות דעת: %1 <br/>"
"Review: %1 <br/>","חוות דעת: %1 <br/>"
"Store: %1 <br/>","חנות: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","מוצר: ""%1"" נסקרו על ידי: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","%1 חוות דעת"
"Reviews","חוות דעת"
"The review has been deleted.","הביקורת נמחקה."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","חוות דעת של לקוחות"
"Edit Review","עריכת חוות דעת"
"We can't retrieve the product ID.","איננו יכולים לקבל את המספר המזהה של המוצר."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","סך של %1 רשומות נערכו."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","מחקת את הדירוג."
"Ratings","דירוג"
"You saved the rating.","You saved the rating."
"My Product Reviews","ביקורות שלי"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","תודה על חוות הדעת.  חוות הדעת תפורסם לאחר אישורה."
"We can't post your review right now.","איננו יכולים לפרסם את הביקורת נכון לעכשיו."
"Storage key was not set","Storage key was not set"
"Approved","אושרה"
"Pending","ממתינה"
"Not Approved","לא אושרה"
"Please enter a review summary.","הזינו בבקשה את תקציר חוות הדעת."
"Please enter a nickname.","נא הזן כינוי."
"Please enter a review.","נא הזן חוות דעת."
"Rating isn't Available","דירוג לא זמין"
"Please specify a rating title for a store, or we'll just use the default value.","אנא הזן את הכותרת עבור החנות אחרת נשתמש בערך ברירת המחדל."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","שם מוצר"
"Rating","דירוג"
"Actions","פעולות"
"See Details","ראה פרטים"
"You have submitted no reviews.","לא הגשת אף חוות דעת."
"Back","חזור"
"My Recent Reviews","חוות דעת אחרונות שלי"
"View All","הצג הכל"
"Average Customer Rating:","דירוג הממוצע:"
"Your Review","חוות הדעת שלך"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","חזרה לחוות דעת שלי"
"Ratings Review Summary","תקציר דירוגי חוות דעת"
"Be the first to review this product","היה הראשון לכתוב חוות דעת ביקורת"
"Write Your Own Review","כתוב חוות דעת שלך"
"* Required Fields","* שדות חובה"
"You're reviewing:","הנך סוקר:"
"Your Rating","הדירוג שלך"
"%1 %2","%1 %2"
"Summary","נושא"
"Submit Review","שלח חוות דעת מוצר"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","רק לקוחות רשומים יכולים לרשום חוות דעת. בבקשה <a href=""""%1"""">התחבר</a> או <a href=""""%2"""">צור חשבון</a>"
"Add Your Review","הוסף את חוות הדעת שלך"
"%1 Review(s)","%1 Review(s)"
"Review by","חוות דעת של"
"Posted on","פורסם ע""י"
"Back to Main Product Info","חזור לפירוט מוצר"
"Average Customer Rating","ממוצע דירוג הלקוחות"
"Product Rating:","דירוג מוצר:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","חזור אל חוות דעת על המוצר"
"Please select one of each of the ratings above.","נא לבחור אחד מהדירוגים הנ""ל."
"By Customers","לפי לקוחות"
"By Products","לפי מוצרים"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Active","פעיל"
"Inactive","לא פעיל"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
