"Save Review","Сачувај Рецензија"
"New Review","Ново Рецензија"
"Review Details","Рецензија Детаљи"
"Product","Производ"
"Product Rating","Производ Оцена"
"Status","Статус"
"Visibility","Видљивост"
"Nickname","Nickname"
"Summary of Review","Сажетак оф Рецензија"
"Review","Рецензија"
"Previous","Претходни"
"Save and Previous","Сачувај анд Претходни"
"Save and Next","Сачувај анд Следећи"
"Next","Следеће"
"Delete Review","Обриши Рецензија"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Edit Review '%1'","Измени Рецензија '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Гост"
"Author","Author"
"Summary Rating","Сажетак Оцена"
"Detailed Rating","Детаилед Оцена"
"ID","ИД"
"Created","Креиран"
"Title","Наслов"
"Type","Тип"
"SKU","Шифра"
"Action","Акција"
"Edit","Измени"
"Delete","Обрисати"
"Are you sure?","Да ли сте сигурни?"
"Update Status","Ажурирај Статус"
"Customer","Купац"
"Pending Reviews of Customer `%1`","На чекању Рецензије оф Купац `%1`"
"Pending Reviews","На чекању Рецензије"
"All Reviews of Customer `%1`","Све Рецензије оф Купац `%1`"
"All Reviews of Product `%1`","Све Рецензије оф Производ `%1`"
"All Reviews","Све Рецензије"
"Name","Име"
"Product Store Name","Производ Продавница Назив"
"Price","Цена"
"Quantity","Количина"
"Websites","Wеб странице"
"Manage Ratings","Манаге Оцене"
"Add New Rating","Додај Ново Оцена"
"Save Rating","Сачувај Оцена"
"Delete Rating","Обриши Оцена"
"Edit Rating #%1","Измени Оцена #%1"
"New Rating","Ново Оцена"
"Rating Title","Оцена Наслов"
"Default Value","Подразумеване вредности"
"Rating Visibility","Оцена Висибилитy"
"Is Active","Ис Активан"
"Sort Order","Редослед поруџбина"
"Rating Information","Оцена Информације"
"Product Reviews","Производ Рецензије"
"Pending product review(s)","На чекању продуцт ревиеw(с)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Производ: <а хреф=""%1"" таргет=""_бланк"">%2</а> <бр/>"
"Summary of review: %1 <br/>","Сажетак оф ревиеw: %1 <бр/>"
"Review: %1 <br/>","Рецензија: %1 <бр/>"
"Store: %1 <br/>","Продавница: %1 <бр/>"
"Click <a href=""%1"">here</a> to see the review.","Кликните <а хреф=""%1"">овде</а> да видите рецензију."
"Product: ""%1"" reviewed by: %2","Производ: ""%1"" је рецензирао: %2"
"Pending Reviews RSS","На чекању Рецензије РСС"
"Reviews %1","Рецензије %1"
"Reviews","Рецензије"
"The review has been deleted.","Тхе ревиеw је делетед."
"Something went wrong  deleting this review.","Нешто није у реду  делетинг тхис ревиеw."
"Customer Reviews","Купац Рецензије"
"Edit Review","Измени Рецензија"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Молимо изаберите ревиеw(с)."
"A total of %1 record(s) have been deleted.","Укупно %1 запис(а) је уклоњено."
"Something went wrong while deleting these records.","Нешто није у реду wхиле делетинг тхесе рецордс."
"A total of %1 record(s) have been updated.","Укупно %1 запис(а) је промењено."
"Something went wrong while updating these review(s).","Нешто није у реду wхиле упдатинг тхесе ревиеw(с)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Нешто није у реду wхиле савинг тхис ревиеw."
"The review was removed by another user or does not exist.","Тхе ревиеw wас ремовед бy анотхер усер ор не постоји."
"You deleted the rating.","You deleted the rating."
"Ratings","Оцене"
"You saved the rating.","You saved the rating."
"My Product Reviews","Мy Производ Рецензије"
"Cannot initialize product","Не може инитиализе продуцт"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Стораге кеy није сет"
"Approved","Одобрен"
"Pending","На чекању"
"Not Approved","Нот Одобрен"
"Please enter a review summary.","Молимо унесите а ревиеw суммарy."
"Please enter a nickname.","Молимо унесите а ницкнаме."
"Please enter a review.","Молимо унесите а ревиеw."
"Rating isn't Available","Оцена исн'т Аваилабле"
"Please specify a rating title for a store, or we'll just use the default value.","Молимо наведите а ратинг титле фор а сторе, ор wе'лл јуст усе тхе дефаулт валуе."
"Assigned Options","Assigned Options"
"Option Title:","Опција Наслов:"
"Product Name","Назив производа"
"Rating","Оцена"
"Actions","Радње"
"See Details","Погледај детаље"
"You have submitted no reviews.","You have submitted no reviews."
"Back","Назад"
"My Recent Reviews","Мy Рецент Рецензије"
"View All","Прикажи све"
"Average Customer Rating:","Авераге Купац Оцена:"
"Your Review","Yоур Рецензија"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Назад то Мy Рецензије"
"Ratings Review Summary","Оцене Рецензија Сажетак"
"Be the first to review this product","Оцените овај производ"
"Write Your Own Review","Wрите Yоур Оwн Рецензија"
"* Required Fields","* Обавезна поља"
"You're reviewing:","You're reviewing:"
"Your Rating","Yоур Оцена"
"%1 %2","%1 %2"
"Summary","Резиме"
"Submit Review","Пошаљи Рецензија"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистровани корисници могу писати рецензије. Молимо <а хреф=""%1"">пријавите се</а> или <а хреф=""%2"">направите налог</а>"
"Add Your Review","Додај Yоур Рецензија"
"%1 Review(s)","%1 Рецензија(с)"
"Review by","Преглед од стране"
"Posted on","Posted on"
"Back to Main Product Info","Назад то Маин Производ Информација"
"Average Customer Rating","Авераге Купац Оцена"
"Product Rating:","Производ Оцена:"
"Product Review (submitted on %1):","Производ Рецензија (субмиттед он %1):"
"Back to Product Reviews","Назад то Производ Рецензије"
"Please select one of each of the ratings above.","Молимо изаберите оне оф еацх оф тхе ратингс абове."
"By Customers","Бy Купци"
"By Products","Бy Производи"
"Allow Guests to Write Reviews","Дозволи Гуестс то Wрите Рецензије"
"Active","Активан"
"Inactive","Неактиван"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистровани корисници могу писати рецензије. Молимо, <а хреф=""%1"">пријавите се</а> или <а хреф=""%2"">направите налог</а>"
"Enabled","Омогућено"
"The storage key wasn't set. Add the storage key and try again.","Тхе стораге кеy wасн'т сет. Додај тхе стораге кеy анд покушајте поново."
