"Save Review","ذخیره‌ی نظر"
"New Review","نظر جدید"
"Review Details","جزییات نظر"
"Product","محصول"
"Product Rating","امتیاز محصول"
"Status","وضعيت"
"Visibility","قابل مشاهده بودن"
"Nickname","لقب"
"Summary of Review","خلاصه‌ی نظر"
"Review","مرور"
"Previous","قبلی"
"Save and Previous","ذخیره و قبل"
"Save and Next","ذخیره و بعد"
"Next","بعدی"
"Delete Review","حذف نظر"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Edit Review '%1'","ویرایش نظر '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'""> %3%2</a></a> <a href=""mailto:%4"">(%4)"
"Administrator","مدیریت"
"Guest","مهمان"
"Author","نویسنده"
"Summary Rating","خلاصه‌ی امتیاز"
"Detailed Rating","امتیاز به تفصیل"
"ID","شناسه"
"Created","ايجاد شد"
"Title","عنوان"
"Type","نوع"
"SKU","کد محصول"
"Action","اقدام"
"Edit","ويرايش"
"Delete","حذف"
"Are you sure?","شما اطمینان دارید؟"
"Update Status","به روز رسانی وضعیت"
"Customer","مشتری"
"Pending Reviews of Customer `%1`","در انتظار بررسی مشتری `%1`"
"Pending Reviews","نظرات در انتظار"
"All Reviews of Customer `%1`","تمام نظرات مشتری `%1`"
"All Reviews of Product `%1`","تمام نظرات مربوط به محصول `%1`"
"All Reviews","همه‌ی نظرات"
"Name","نام"
"Product Store Name","نام محصول فروشگاه"
"Price","قيمت"
"Quantity","تعداد"
"Websites","وب سایت ها"
"Manage Ratings","مدیریت امتیازات"
"Add New Rating","افزودن امتیاز جدید"
"Save Rating","ذخیره‌ی امتیاز"
"Delete Rating","حذف امتیاز"
"Edit Rating #%1","رتبه #%1 ویرایش"
"New Rating","امتیاز جدید"
"Rating Title","عنوان امتیاز"
"Default Value","مقدار پیش فرض"
"Rating Visibility","پدیداری امتیاز"
"Is Active","فعال"
"Sort Order","ترتيب سفارش"
"Rating Information","اطلاعات امتیاز"
"Product Reviews","نظرات محصول"
"Pending product review(s)","نظر(ات) محصول در انتظار"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","محصول: <a href=""<a href=""%1"" target=""_blank"">"" target=""_blank"">%2 </a> <br/>"
"Summary of review: %1 <br/>","خلاصه ای از بازبینی:%1 <br/>"
"Review: %1 <br/>","مرور: %1 <br/>"
"Store: %1 <br/>","فروشگاه: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","<a href=""<a href=""%1"">""> اینجا </a> را برای مشاهده بازبینی کلیک کنید."
"Product: ""%1"" reviewed by: %2","محصول: ""%1"" توسط %2 بررسی شده است"
"Pending Reviews RSS","RSS نظرات در انتظار"
"Reviews %1","نظرات %1"
"Reviews","نظرات"
"The review has been deleted.","بررسی حذف شده است."
"Something went wrong  deleting this review.","در نتیجه حذف این بازبینی اشتباهی رخ داده."
"Customer Reviews","نظرات مشتری"
"Edit Review","ویرایش نظر"
"We can't retrieve the product ID.","ما نمیتوانیم شناسه محصول را بازیابی کنیم."
"Please select review(s).","لطفا نظر(ات) را انتخاب نمایید."
"A total of %1 record(s) have been deleted.","در مجموع %1 رکورد (ها) حذف شده است."
"Something went wrong while deleting these records.","در حین حذف این رکورد ها ، چیزی اشتباهی رخ داده."
"A total of %1 record(s) have been updated.","مجموع %1 رکورد (ها) به روز شده است."
"Something went wrong while updating these review(s).","در هنگام به روزرسانی این بازبینی (ها) اشتباهی رخ داده."
"You saved the review.","شما بازبینی را ذخیره کردید."
"Something went wrong while saving this review.","هنگام ذخیره در این بررسی، اشتباهی رخ داده."
"The review was removed by another user or does not exist.","نظر یا توسط کاربر دیگری برداشته شده بود یا وجود ندارد."
"You deleted the rating.","رتبه بندی را حذف کردید."
"Ratings","رتبه بندی ها"
"You saved the rating.","امتیاز را ذخیره کردید."
"My Product Reviews","نظرات محصول من"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","شما بررسی خود را برای تعدیل ارسال کردید."
"We can't post your review right now.","ما نمیتوانیم نظر خود را در حال حاضر ارسال کنیم."
"Storage key was not set","Storage key was not set"
"Approved","تائید شد"
"Pending","انتظار"
"Not Approved","تائید نشده"
"Please enter a review summary.","لطفا یک خلاصه بررسی را وارد کنید."
"Please enter a nickname.","لطفا یک نام مستعار وارد کنید."
"Please enter a review.","لطفا یک بررسی را وارد کنید."
"Rating isn't Available","امتیاز در دسترس نیست"
