"Save Review","Guardar reseña"
"New Review","Nueva revisión"
"Review Details","Detalles de reseña"
"Product","Producto"
"Product Rating","Valoración de artículo"
"Status","Estatus"
"Visibility","Visibilidad"
"Nickname","Apodo"
"Summary of Review","Resumen de revisión"
"Review","Reseña"
"Previous","Anterior"
"Save and Previous","Guardar y Previo"
"Save and Next","Guardar y Siguiente"
"Next","Siguiente"
"Delete Review","Eliminar reseñas"
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
"Edit Review '%1'","Editar reseña '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","Administrador"
"Guest","Visitante"
"Author","Autor"
"Summary Rating","Resumen de clasificación"
"Detailed Rating","Valoración detallada"
"ID","Número de Identificación (ID)"
"Created","Creado"
"Title","Título"
"Type","Tipo"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Action","Acción"
"Edit","Editar"
"Delete","Borrar"
"Are you sure?","¿Estás seguro?"
"Update Status","Actualizar estado"
"Customer","Cliente"
"Pending Reviews of Customer `%1`","Reseñas pendientes del cliente `%1`"
"Pending Reviews","Reseñas pendientes"
"All Reviews of Customer `%1`","Todas las reseñas del cliente '%1'"
"All Reviews of Product `%1`","Todas las opiniones de producto '%1'"
"All Reviews","Todas las reseñas"
"Name","Nombre"
"Product Store Name","Nombre de la tienda"
"Price","Precio"
"Quantity","Cantidad"
"Websites","Sitios web"
"Manage Ratings","Administrar puntuaciones"
"Add New Rating","Agregar nueva puntuación"
"Save Rating","Guardar puntuación"
"Delete Rating","Eliminar puntuación"
"Edit Rating #%1","Editar Calificación #%1"
"New Rating","Nueva puntuación"
"Rating Title","Título de la puntuación"
"Default Value","Valor predeterminado"
"Rating Visibility","Visibilidad de la puntuación"
"Is Active","Está activo"
"Sort Order","Orden de aparición"
"Rating Information","Información sobre la puntuación"
"Product Reviews","Reseñas de artículo"
"Pending product review(s)","Reseñas pendientes para el artículo"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Producto: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Resumen del examen: %1 <br/>"
"Review: %1 <br/>","Reseña: %1 <br/>"
"Store: %1 <br/>","Tienda: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Haz clic <a href=""%1"">aquí</a> para ver la reseña."
"Product: ""%1"" reviewed by: %2","Producto: ""%1"" valorado por: %2"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Reviews %1","Reseñas %1"
"Reviews","Reseñas"
"The review has been deleted.","Se eliminó la reseña."
"Something went wrong  deleting this review.","Algo salió mal al borrar esta reseña."
"Customer Reviews","Reseñas de cliente"
"Edit Review","Editar Comentarios"
"We can't retrieve the product ID.","No podemos obtener el identificador de producto."
"Please select review(s).","Por favor, selecciona reseña(s)."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido borrados."
"Something went wrong while deleting these records.","Algo salió mal al eliminar estos registros."
"A total of %1 record(s) have been updated.","Se han actualizado un total de %1 registro(s)."
"Something went wrong while updating these review(s).","Algo salió mal al actualizar estos exámenes."
"You saved the review.","Guardaste la revisión."
"Something went wrong while saving this review.","Algo salió mal al guardar este evento."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"You deleted the rating.","Borraste la valoración."
"Ratings","Calificaciones"
"You saved the rating.","Guardaste la calificación."
"My Product Reviews","Mis valoraciones"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Has enviado la reseña para moderación."
"We can't post your review right now.","No podemos publicar tu reseña en este momento."
"Storage key was not set","No se ha establecido la clave de almacenamiento"
"Approved","Aprobado"
"Pending","Pendiente"
"Not Approved","No aprobado"
"Please enter a review summary.","Por favor, introduce un sumario de reseña."
"Please enter a nickname.","Introduce un apodo."
"Please enter a review.","Por favor, introduce una opinión."
"Rating isn't Available","La puntuación no está disponible"
"Please specify a rating title for a store, or we'll just use the default value.","Por favor, especifica un título de valoración para una tienda, o simplemente usaremos el valor predeterminado."
"Assigned Options","Opciones asignadas"
"Option Title:","Título de opciones:"
"Product Name","Nombre del producto"
"Rating","Valoración"
"Actions","Acciones"
"See Details","Ver información"
"You have submitted no reviews.","No has enviado ninguna reseña."
"Back","Atrás"
"My Recent Reviews","Mis reseñas recientes"
"View All","Ver todo"
"Average Customer Rating:","Revisión media de clientes:"
"Your Review","Tu reseña"
"Submitted on %1","Enviado el %1"
"Back to My Reviews","Volver a mis reseñas"
"Ratings Review Summary","Resumen de revisión de calificaciones"
"Be the first to review this product","Sé el primero en dejar una reseña para este artículo"
"Write Your Own Review","Escribe tu propia reseña"
"* Required Fields","* Campos obligatorios"
"You're reviewing:","Estás revisando:"
"Your Rating","Tu valoración"
"%1 %2","%1 %2"
"Summary","Resumen"
"Submit Review","Enviar reseña"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Solo usuarios registrados pueden escribir comentarios. Por favor, <a href=""%1""> iniciar sesión</a> o <a href=""%2""> crear una cuenta</a>"
"Add Your Review","Valora este producto"
"%1 Review(s)","%1 reseña(s)"
"Review by","Comentario por"
"Posted on","Publicado en"
"Back to Main Product Info","Volver a información principal del artículo"
"Average Customer Rating","Valoración media de clientes"
"Product Rating:","Valoración de artículo:"
"Product Review (submitted on %1):","Reseña de producto (enviada el %1):"
"Back to Product Reviews","Volver a reseñas de artículo"
"Please select one of each of the ratings above.","Seleccione una de cada una de las calificaciones anteriores."
"By Customers","Por clientes"
"By Products","Por productos"
"Allow Guests to Write Reviews","Permitir a los visitantes escribir reseñas"
"Active","Activo"
"Inactive","Inactivo"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Solo los usuarios registrados pueden escribir reseñas. Por favor, <a href=""%1"">inicia sesión</a> o <a href=""%2"">regístrate</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
