"Save Review","Lưu nhận xét"
"New Review","Đánh giá mới"
"Review Details","Xem chi tiết"
"Product","Sản phẩm"
"Product Rating","Đánh giá sản phẩm"
"Status","Trạng thái"
"Visibility","Hiển thị"
"Nickname","Biệt danh"
"Summary of Review","Bản tóm tắt của bài đánh giá"
"Review","Đánh giá"
"Previous","Trước"
"Save and Previous","Lưu và trước đó"
"Save and Next","Lưu và tiếp theo"
"Next","Tiếp theo"
"Delete Review","Xóa đánh giá"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Edit Review '%1'","Chỉnh sửa nhận xét '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
"Administrator","Người quản lý"
"Guest","Khách"
"Author","Tác giả"
"Summary Rating","Tóm tắt đánh giá"
"Detailed Rating","Đánh giá chi tiết"
"ID","ID"
"Created","Đã tạo"
"Title","Tiêu đề"
"Type","Loại"
"SKU","MÃ SẢN PHẨM"
"Action","Thao tác"
"Edit","Chỉnh sửa"
"Delete","Xóa bỏ"
"Are you sure?","Bạn chắc chứ?"
"Update Status","Cập Nhật Trạng Thái"
"Customer","Khách hàng"
"Pending Reviews of Customer `%1`","Đang chờ nhận xét của khách hàng '%1'"
"Pending Reviews","Chờ đánh giá"
"All Reviews of Customer `%1`","Tất cả đánh giá của khách hàng '%1'"
"All Reviews of Product `%1`","Các đánh giá tất cả sản phẩm '%1'"
"All Reviews","Tất cả đánh giá"
"Name","Tên"
"Product Store Name","Tên sản phẩm trong cửa hàng"
"Price","Giá"
"Quantity","Số lượng"
"Websites","Các trang web"
"Manage Ratings","Quản lý các xếp hạng"
"Add New Rating","Thêm xếp hạng mới"
"Save Rating","Lưu xếp hạng"
"Delete Rating","Xóa xếp hạng"
"Edit Rating #%1","Chỉnh sửa xếp hạng #%1"
"New Rating","Xếp hạng mới"
"Rating Title","Tiêu đề xếp hạng"
"Default Value","Giá trị mặc định"
"Rating Visibility","Hiển thị xếp hạng"
"Is Active","Hoạt động"
"Sort Order","Thứ tự sắp xếp"
"Rating Information","Thông tin đánh giá"
"Product Reviews","Đánh giá sản phẩm"
"Pending product review(s)","Đánh giá sản phẩm đang chờ xử lý"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Sản phẩm: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Tóm tắt các nhận xét: %1 <br/>"
"Review: %1 <br/>","Đánh giá: %1 <br/>"
"Store: %1 <br/>","Cửa hàng: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Bấm vào <a href=""%1""> đây</a> để xem các bài đánh giá."
"Product: ""%1"" reviewed by: %2","Sản phẩm: ""%1"" được đánh giá bởi: %2"
"Pending Reviews RSS","Đang chờ giải quyết giá RSS"
"Reviews %1","đánh Giá %1"
"Reviews","Các đánh giá"
"The review has been deleted.","đánh giá đã bị xóa."
"Something went wrong  deleting this review.","Một cái gì đó đã đi sai xoá nhận xét này."
"Customer Reviews","Khách hàng đánh giá"
"Edit Review","Sửa đánh giá"
"We can't retrieve the product ID.","Chúng tôi không thể truy xuất ID sản phẩm."
"Please select review(s).","Vui lòng chọn đánh giá."
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi (s) đã bị xóa."
"Something went wrong while deleting these records.","Một cái gì đó đã đi sai trong khi xóa các bản ghi này."
"A total of %1 record(s) have been updated.","Tổng cộng %1 bản ghi (s) đã được cập nhật."
"Something went wrong while updating these review(s).","Một cái gì đó đã đi sai trong khi cập nhật các đánh giá."
"You saved the review.","Bạn đã lưu các bài đánh giá."
"Something went wrong while saving this review.","Một cái gì đó đã đi sai trong khi lưu nhận xét này."
"The review was removed by another user or does not exist.","Các đánh giá được gỡ bỏ bởi người dùng khác hoặc không tồn tại."
"You deleted the rating.","Bạn đã xoá các xếp hạng."
"Ratings","Xếp hạng"
"You saved the rating.","Bạn đã lưu các xếp hạng."
"My Product Reviews","Đánh giá sản phẩm của tôi"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Bạn đã gửi nhận xét của bạn để kiểm duyệt."
"We can't post your review right now.","Chúng tôi không thể đăng bài nhận xét của bạn ngay bây giờ."
"Storage key was not set","Storage key was not set"
"Approved","Chấp thuận"
"Pending","Đợi duyệt"
"Not Approved","Không được chấp thuận"
"Please enter a review summary.","Vui lòng nhập một đánh giá sơ lược."
