"Save Review","レビューの保存"
"New Review","新しいレビュー"
"Review Details","レビュー詳細"
"Product","商品"
"Product Rating","商品評価"
"Status","ステータス"
"Visibility","表示"
"Nickname","ニックネーム"
"Summary of Review","レビューのタイトル"
"Review","レビュー"
"Previous","前"
"Save and Previous","保存して戻る"
"Save and Next","保存して次に"
"Next","次"
"Delete Review","レビュー削除"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Edit Review '%1'","編集レビュー'%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1""onclick=""this.target='blank'"">%2 %3</a><a href=""mailto:%4""> (%4)</a>"
"Administrator","管理者"
"Guest","ゲスト様"
"Author","作者"
"Summary Rating","評価のタイトル"
"Detailed Rating","評価の詳細"
"ID","ID"
"Created","作成済"
"Title","タイトル"
"Type","種別"
"SKU","商品番号"
"Action","アクション"
"Edit","編集"
"Delete","削除"
"Are you sure?","よろしいですか？"
"Update Status","ステータスを更新"
"Customer","顧客"
"Pending Reviews of Customer `%1`","レビューが保留の顧客 `%1`"
"Pending Reviews","承認待ちのレビュー"
"All Reviews of Customer `%1`","顧客のすべてのレビュー `%1`"
"All Reviews of Product `%1`","商品のすべてのレビュー `%1`"
"All Reviews","全てのレビュー"
"Name","名前"
"Product Store Name","商品ストア名"
"Price","価格"
"Quantity","個数"
"Websites","ウェブサイト"
"Manage Ratings","評価管理"
"Add New Rating","新規評価の追加"
"Save Rating","評価の保存"
"Delete Rating","評価の削除"
"Edit Rating #%1","評価の編集 #%1"
"New Rating","新しい評価"
"Rating Title","評価タイトル"
"Default Value","標準の値"
"Rating Visibility","評価の表示"
"Is Active","有効"
"Sort Order","表示順"
"Rating Information","評価情報"
"Product Reviews","商品レビュー"
"Pending product review(s)","保留中の商品レビュー"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","商品: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","レビューのまとめ: %1 <br/>"
"Review: %1 <br/>","レビュー: %1 <br/>"
"Store: %1 <br/>","ストア: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","<a href=""%1"">ここ</a>をクリックしてリビューをみる。"
"Product: ""%1"" reviewed by: %2","商品: ""%1"" レビューをした人: %2"
"Pending Reviews RSS","承認待ちレビューRSS"
"Reviews %1","レビュー %1"
"Reviews","レビュー"
"The review has been deleted.","レビューは削除されました"
"Something went wrong  deleting this review.","このリビューを削除中に問題が発生しました。"
"Customer Reviews","顧客レビュー"
"Edit Review","レビュー編集"
"We can't retrieve the product ID.","商品 ID を取得できません。"
"Please select review(s).","レビューを選択してください。"
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"Something went wrong while deleting these records.","レコードを削除中に問題が発生しました。"
